"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"PTPRC.PTPRC"	"PIKFYVE"	"PTPRC"	"PTPRC"	1	"RHEB"	"ASAH1"	"ABHD11"	"DDX3X"	"SMC1A"	"NIP7"	"DDX50"	"RASGRP1"	"RUVBL2"	"RPS15"	"QPCT"	"KAT6A"	"APP"	"SRC"	"DENND4A"	"COL1A1"	"APOE"	"MTHFR"	"ESR1"	"ESR1"	"TP53"	"TP53"	"VEGFA"	"IL6"
"PPP2R5C"	"SRC"	"PPP2R5C"	"PPP2R5C"	1	"PLCG2"	"B4GALT4"	"PTPRC"	"TUBA1B"	"SRC"	"FBXO42"	"FKBP15"	"CBY1"	"STX8"	"ECT2"	"PIAS2"	"HSD17B4"	"MICALL2"	"LCN2"	"ATP5PD"	"RHEB"	"AKT1"	"EGFR"	"MTHFR"	"EGFR"	"MTHFR"	"IL6"	"IL6"	"AKT1"
"TXNRD1"	"EEF1A1"	"CTNNB1"	"TXNRD1"	1	"SLC11A1"	"FBXL18"	"HIPK1"	"RHEB"	"PTPRC"	"CCNA1"	"CLTA"	"APP"	"WWP2"	"PIK3C3"	"CXCL8"	"PPP2R5C"	"SRC"	"ZNF652"	"TXNDC9"	"B4GALT4"	"IL6"	"AKT1"	"APOE"	"VEGFA"	"EGFR"	"MTHFR"	"TP53"	"APOE"
"KAT6A"	"CBY1"	"SMC1A"	"KAT6A"	0.994031221303949	"ASAH1"	"FGD2"	"JMJD6"	"SRC"	"FLT3"	"EAF2"	"TOR1AIP1"	"MCTS1"	"TSPAN3"	"GOSR1"	"AREG"	"COQ10B"	"GOSR1"	"ANXA2"	"ZMYM6"	"PAK2"	"TP53"	"VEGFA"	"VEGFA"	"MTHFR"	"IL6"	"VEGFA"	"MTHFR"	"ESR1"
"FLT3"	"PABPC1"	"CSNK1A1"	"FLT3"	0.993747437474375	"TAB2"	"TRMT44"	"SLC4A1"	"ROCK1"	"IKZF1"	"COPA"	"RSU1"	"DDX3X"	"HPRT1"	"AHNAK"	"CMAHP"	"GIT2"	"STX8"	"TMEM126B"	"RNF144A"	"FBXL18"	"VEGFA"	"ESR1"	"TP53"	"AKT1"	"APOE"	"ESR1"	"APOE"	"VEGFA"
"IKZF1"	"ABHD11"	"PLCG2"	"IKZF1"	0.988925802879291	"FBXL18"	"DENND4A"	"WWP2"	"CBY1"	"KAT6A"	"ZMYND11"	"BTRC"	"RNF144A"	"CBX5"	"MCTS1"	"COL1A1"	"DIAPH1"	"MCF2L"	"CNPY2"	"SEPTIN7"	"PICALM"	"ESR1"	"IL6"	"IL6"	"APOE"	"VEGFA"	"APOE"	"ESR1"	"TP53"
"SRC"	"DDX3X"	"DDX3X"	"SRC"	0.986449864498645	"WTAP"	"PHF20L1"	"MCF2L"	"RAC1"	"CTNNB1"	"CPNE3"	"SAMHD1"	"TBC1D1"	"FBXO42"	"CLK4"	"ABI1"	"DDX42"	"WIPI2"	"RFTN1"	"AREG"	"RPS28"	"EGFR"	"TP53"	"AKT1"	"TP53"	"ESR1"	"AKT1"	"AKT1"	"MTHFR"
"FUS"	"ASAH1"	"SRC"	"FUS"	0.982942430703625	"JMJD6"	"SUV39H2"	"SEC62"	"TCEA1"	"FUS"	"HBB"	"PHF20L1"	"CLK4"	"HINT1"	"HOPX"	"ATP5F1A"	"TNPO1"	"ATP5PD"	"PABPC1"	"EIF4G2"	"BCL2L1"	"MTHFR"	"APOE"	"EGFR"	"IL6"	"AKT1"	"EGFR"	"EGFR"	"EGFR"
"CTNNB1"	"SEPTIN7"	"KAT6A"	"CTNNB1"	0.981553819444444	"MICALL2"	"RAP1A"	"STMN1"	"PRCP"	"PPP2R5C"	"VPS13D"	"HSD17B4"	"SLC4A1"	"SOX4"	"TRAF5"	"DOCK2"	"ASAH1"	"SEPTIN7"	"CCSER2"	"FLT3"	"GTF2F2"	NA	NA	NA	NA	NA	NA	NA	NA
"PLCG2"	"MACROH2A1"	"KRAS"	"PLCG2"	0.962532299741602	"TRMT44"	"SMC1A"	"DENND1B"	"TRIM37"	"PLCG2"	"MCCC2"	"CALCOCO2"	"CBX5"	"CXCL2"	"QPCT"	"DDX42"	"LGALS3"	"TBC1D1"	"DDX42"	"PABPC1"	"HBB"	NA	NA	NA	NA	NA	NA	NA	NA
"ABI1"	"SRGAP3"	"ABI1"	"ABI1"	0.933333333333333	"DDX3X"	"RHEB"	"ZMYM6"	"IKZF1"	"CD74"	"MDN1"	"TRIM37"	"DENND4A"	"FKBP15"	"CCND3"	"ARHGDIB"	"TRIM37"	"CD74"	"TXNDC9"	"CYB5R1"	"RTN4"	NA	NA	NA	NA	NA	NA	NA	NA
"CD74"	"MKNK1"	"BTG1"	"CD74"	0.936781609195402	"MCCC2"	"MAP3K19"	"LUZP1"	"RAP1A"	"ABI1"	"TIA1"	"DNAJC2"	"HOPX"	"PCOLCE2"	"DYRK3"	"CBX5"	"GGNBP2"	"NDUFA10"	"RNASET2"	"FPR2"	"SEPTIN7"	NA	NA	NA	NA	NA	NA	NA	NA
"CCNC"	"RPS15"	"TXNRD1"	"CCNC"	0.931818181818182	"RAC1"	"ARHGDIB"	"FBXL18"	"HBB"	"CCNC"	"GGNBP2"	"CBX3"	"HIPK1"	"PIKFYVE"	"GSN"	"CCNC"	"FBXO9"	"PCOLCE2"	"CCND3"	"TRMT44"	"FH"	NA	NA	NA	NA	NA	NA	NA	NA
"PSIP1"	"WIPI1"	"CCND3"	"PSIP1"	0.927089026638032	"TCEA1"	"PSMD6"	"SREK1IP1"	"SRGAP3"	"PSIP1"	"ATP5PO"	"PABPC1"	"EAF2"	"CCNA1"	"B4GALT4"	"MCF2L"	"ATP5F1A"	"PABPC1"	"GSN"	"TRIM37"	"DDX3X"	NA	NA	NA	NA	NA	NA	NA	NA
"KRAS"	"CLTA"	"DDX10"	"KRAS"	0.925451228878648	"TMED5"	"CSNK1A1"	"KIAA1109"	"CLTA"	"KRAS"	"NCOA6"	"HNRNPC"	"CCNA1"	"STAB1"	"CYB5R1"	"AKR1C1"	"FKBP15"	"HPRT1"	"IRAK1"	"NKTR"	"PRMT1"	NA	NA	NA	NA	NA	NA	NA	NA
"BTG1"	"DNAJC2"	"FUS"	"BTG1"	0.923646723646724	"MLXIP"	"HEXA"	"FGD2"	"ABI1"	"CSNK1A1"	"CSNK1A1"	"ARHGAP25"	"ELOVL5"	"RPS9"	"SLC11A1"	"HOXA5"	"SEC62"	"NDUFB7"	"BTRC"	"GNG11"	"MYL12A"	NA	NA	NA	NA	NA	NA	NA	NA
"CCND3"	"EIF4EBP2"	"IKZF1"	"CCND3"	0.901960784313726	"PRCP"	"COL1A1"	"PIKFYVE"	"MKNK1"	"RAC1"	"KRAS"	"HNRNPM"	"RPS28"	"AREG"	"STX8"	"OLR1"	"AKR1C1"	"CCND3"	"FH"	"SLC14A1"	"AGFG1"	NA	NA	NA	NA	NA	NA	NA	NA
"CSNK1A1"	"RPS9"	"SUZ12"	"CSNK1A1"	0.905882352941176	"PAK2"	"TARDBP"	"RHOB"	"PAK2"	"DDX3X"	"LITAF"	"LCN2"	"GOSR1"	"MCF2L"	"PHF20L1"	"FGD2"	"NDUFB6"	"PPA2"	"ATP5PO"	"HSD17B4"	"TNPO1"	NA	NA	NA	NA	NA	NA	NA	NA
"SUZ12"	"TRIM37"	"CD74"	"SUZ12"	0.906828703703704	"POLR2B"	"ZNF493"	"TRIM37"	"NUMA1"	"PICALM"	"SLC38A10"	"CMTM6"	"DENND1B"	"VPS35"	"ARHGAP25"	"HSD17B12"	"SAMHD1"	"CSNK1A1"	"AREG"	"C12orf49"	"GSN"	NA	NA	NA	NA	NA	NA	NA	NA
"RAC1"	"RAC1"	"CCNC"	"RAC1"	0.872208693948354	"TRAF5"	"MACROH2A1"	"TXNDC9"	"SF1"	"CCND3"	"TRIM37"	"TSPAN3"	"CYB5R1"	"HIPK1"	"SYF2"	"CYB5R1"	"SLC4A1"	"VPS13D"	"MRPS27"	"SYF2"	"WTAP"	NA	NA	NA	NA	NA	NA	NA	NA
"SMC1A"	"NIP7"	"FLT3"	"SMC1A"	0.875333333333333	"PSMD6"	"PAK2"	"HSD17B12"	"CSNK1A1"	"NUMA1"	"CLK4"	"CCNC"	"ECT2"	"SUZ12"	"JMJD6"	"COPA"	"PIK3C3"	"CHI3L1"	"MKNK1"	"PIKFYVE"	"NIP7"	NA	NA	NA	NA	NA	NA	NA	NA
