"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"PTPRC.PTPRC"	"ARHGDIB"	"PTPRC"	"PTPRC"	1	"ZMYM6"	"SCAMP1"	"RBBP6"	"DDX3X"	"VHL"	"HBB"	"WWP2"	"SREK1IP1"	"IKZF1"	"PIGK"	"ZMYND11"	"PABPC1"	"GIMAP4"	"AGFG1"	"PABPC1"	"ZNF674"	"MTHFR"	"MTHFR"	"MTHFR"	"APOE"	"EGFR"	"IL6"	"TP53"	"EGFR"
"PPP2R5C"	"ZNF674"	"PPP2R5C"	"PPP2R5C"	1	"FBXO42"	"FBXL18"	"ABHD11"	"TUBA1B"	"PPP2R5C"	"GIT2"	"SCAMP1"	"ZNF674"	"LGALS3"	"ZNF652"	"TXNRD1"	"PPP2R3C"	"LITAF"	"SEPTIN7"	"BTRC"	"CCN2"	"IL6"	"VEGFA"	"ESR1"	"VEGFA"	"IL6"	"TP53"	"AKT1"	"MTHFR"
"TXNRD1"	"EIF4EBP2"	"CTNNB1"	"TXNRD1"	1	"FGD2"	"FGD2"	"PTPRC"	"RHEB"	"FLT3"	"CXCL2"	"ROCK1"	"TGFBI"	"TRAF5"	"LITAF"	"DYRK3"	"SRC"	"MKNK1"	"ANXA2"	"ABI1"	"COL5A1"	"TP53"	"AKT1"	"APOE"	"ESR1"	"ESR1"	"APOE"	"VEGFA"	"TP53"
"KAT6A"	"EEF1A1"	"SMC1A"	"KAT6A"	0.994031221303949	"MCCC2"	"FAM53B"	"HIPK1"	"SRC"	"IKZF1"	"LGALS3"	"ARHGAP25"	"COL5A1"	"FLT3"	"PLCG2"	"ABHD5"	"CPNE3"	"FLT3"	"PNN"	"ABHD5"	"COL1A1"	"ESR1"	"ESR1"	"VEGFA"	"EGFR"	"TP53"	"MTHFR"	"EGFR"	"ESR1"
"FLT3"	"DDX3X"	"PLCG2"	"FLT3"	0.993747437474375	"CALCOCO2"	"DENND4A"	"JMJD6"	"ROCK1"	"PTPRC"	"MACROH2A1"	"SUPT6H"	"TNPO1"	"CD69"	"TMEM126B"	"FAM53B"	"FLT3"	"ARHGAP25"	"CBX5"	"PAWR"	"COL5A2"	"AKT1"	"IL6"	"IL6"	"AKT1"	"VEGFA"	"VEGFA"	"ESR1"	"VEGFA"
"CCND1"	"ABHD11"	"DDX3X"	"CCND1"	0.991493078031024	"RTN4"	"PHF20L1"	"SLC4A1"	"PRCP"	"SRC"	"ECT2"	"WTAP"	"PIGK"	"RUVBL2"	"KRAS"	"USPL1"	"LGALS3"	"LGMN"	"SAMHD1"	"NDUFS4"	"FERMT2"	"EGFR"	"APOE"	"AKT1"	"IL6"	"APOE"	"EGFR"	"MTHFR"	"IL6"
"IKZF1"	"PABPC1"	"SRC"	"IKZF1"	0.990033222591362	"PLCG2"	"SUV39H2"	"WWP2"	"CBY1"	"KAT6A"	"HERPUD1"	"LUM"	"HEXA"	"NDUFB6"	"DRP2"	"SOX4"	"KIAA1109"	"CCNC"	"RPS15"	"CD74"	"VHL"	"VEGFA"	"TP53"	"TP53"	"TP53"	"AKT1"	"ESR1"	"APOE"	"AKT1"
"SRC"	"CBY1"	"KAT6A"	"SRC"	0.984707704219899	"HEXA"	"ASAH1"	"SEC62"	"RAC1"	"FUS"	"FUS"	"PNN"	"CD69"	"SRGAP3"	"TSPYL1"	"PLK4"	"USP25"	"PNN"	"CLTA"	"MLXIP"	"GTF2F2"	"APOE"	"EGFR"	"EGFR"	"MTHFR"	"MTHFR"	"AKT1"	"IL6"	"APOE"
"FUS"	"MACROH2A1"	"KRAS"	"FUS"	0.982587064676617	"WIPI1"	"RHEB"	"STMN1"	"TCEA1"	"CTNNB1"	"VIM"	"HPF1"	"SNRPB2"	"HEXA"	"TOP2A"	"CBX3"	"PTPN18"	"CBY1"	"HBB"	"B4GALT4"	"BCAR3"	NA	NA	NA	NA	NA	NA	NA	NA
"CTNNB1"	"SRC"	"VHL"	"CTNNB1"	0.981288580246914	"EIF4EBP2"	"PSMD6"	"DENND1B"	"IKZF1"	"PLCG2"	"MDN1"	"ZNF493"	"PTPRC"	"TPM2"	"NDUFB7"	"PTPRE"	"THADA"	"MCTS1"	"ARHGAP25"	"FH"	"SLC44A1"	NA	NA	NA	NA	NA	NA	NA	NA
"BRD4"	"WIPI1"	"ABI1"	"BRD4"	0.977272727272727	"ZNF493"	"COL1A1"	"ZMYM6"	"RAP1A"	"CD74"	"DRP2"	"KAT6A"	"CCNA1"	"TOR1AIP1"	"STMN1"	"SHCBP1"	"EMID1"	"THADA"	"WTAP"	"RTN4"	"RHEB"	NA	NA	NA	NA	NA	NA	NA	NA
"PLCG2"	"CLTA"	"BTG1"	"PLCG2"	0.96476391825229	"C11orf58"	"ZNF493"	"SCAMP1"	"TRIM37"	"CCNC"	"WIPI2"	"HNRNPM"	"CNN3"	"WIPI2"	"VHL"	"ZNF652"	"BAHCC1"	"CD69"	"STRADA"	"RND3"	"CCND1"	NA	NA	NA	NA	NA	NA	NA	NA
"VHL"	"RAC1"	"TXNRD1"	"VHL"	0.954861111111111	"RPS9"	"PAK2"	"FBXL18"	"CLTA"	"ABI1"	"ZNF674"	"TOR1AIP1"	"HBB"	"RFTN1"	"MDN1"	"RAP1A"	"GGNBP2"	"RND3"	"RFTN1"	"WIPI2"	"SCAMP1"	NA	NA	NA	NA	NA	NA	NA	NA
"TOP2A"	"SEPTIN7"	"CCND3"	"TOP2A"	0.942307692307692	"PPP2R5C"	"VHL"	"SREK1IP1"	"SRGAP3"	"KRAS"	"AGFG1"	"BCAR3"	"FH"	"CDH2"	"FBXO42"	"RPS9"	"TFB2M"	"HNRNPC"	"BCAR3"	"HERPUD1"	"LOX"	NA	NA	NA	NA	NA	NA	NA	NA
"KRAS"	"COL5A2"	"FUS"	"KRAS"	0.941148233486943	"TMED5"	"RNF130"	"KIAA1109"	"ABI1"	"PSIP1"	"PPP2R3C"	"SLC44A1"	"EEF1A1"	"SYF2"	"KAT6A"	"PPP2R5C"	"MCCC2"	"AKR1C1"	"NUP160"	"VCAM1"	"PICALM"	NA	NA	NA	NA	NA	NA	NA	NA
"ABI1"	"CNTN1"	"IKZF1"	"ABI1"	0.937777777777778	"PNN"	"GSN"	"FGD2"	"MKNK1"	"RAC1"	"WTAP"	"GJA1"	"FBXO9"	"RECQL"	"YIPF4"	"VHL"	"DENND1B"	"CXCL8"	"BTRC"	"CLTA"	"PLOD2"	NA	NA	NA	NA	NA	NA	NA	NA
"CD74"	"DNAJC2"	"SUZ12"	"CD74"	0.937140804597701	"RHEB"	"HPRT1"	"TRIM37"	"HBB"	"SMC1A"	"TSPYL1"	"DOCK2"	"GIMAP4"	"DNAJC2"	"MACROH2A1"	"MMP2"	"CXCL2"	"MME"	"MLXIP"	"DDX3X"	"B4GALT4"	NA	NA	NA	NA	NA	NA	NA	NA
"CCNC"	"RPS15"	"CD74"	"CCNC"	0.934046345811052	"ARHGDIB"	"CMTM6"	"SPTLC1"	"PLCG2"	"DDX3X"	"NDUFB6"	"BTRC"	"HNRNPM"	"KRAS"	"DENND1B"	"ATP5F1A"	"TCEA1"	"TMED5"	"ATP5F1A"	"CCN1"	"IGFBP3"	NA	NA	NA	NA	NA	NA	NA	NA
"BTG1"	"NIP7"	"CCNC"	"BTG1"	0.929962013295347	"PTPRC"	"SEPTIN7"	"HSD17B12"	"VHL"	"CCND1"	"TXNRD1"	"VIM"	"HPRT1"	"MAP3K19"	"BTRC"	"PTPRC"	"ABHD11"	"WTAP"	"TFB2M"	"ROCK1"	"ROR1"	NA	NA	NA	NA	NA	NA	NA	NA
"PSIP1"	"VHL"	"TOP2A"	"PSIP1"	0.924144551508056	"DOCK2"	"RAC1"	"CCSER2"	"SF1"	"PICALM"	"SEPTIN7"	"SHCBP1"	"TMED5"	"ATP5F1A"	"CBX5"	"PMS1"	"CLEC2B"	"CCN2"	"RNF130"	"QPCT"	"PAK2"	NA	NA	NA	NA	NA	NA	NA	NA
"SUZ12"	"ARHGAP25"	"BRD4"	"SUZ12"	0.916145833333333	"ATF3"	"SOX4"	"ZMYND11"	"WTAP"	"CCND3"	"CCN2"	"RAP1A"	"SLC14A1"	"CTNNB1"	"SF3A1"	"BTG3"	"MME"	"TPM2"	"MACROH2A1"	"DENND1B"	"PCYOX1"	NA	NA	NA	NA	NA	NA	NA	NA
"CCND3"	"SRGAP3"	"FLT3"	"CCND3"	0.888888888888889	"BAHCC1"	"SREK1"	"FAM53B"	"USP25"	"NUMA1"	"FBXO42"	"TSPAN3"	"USPL1"	"MYL12A"	"RNF130"	"MRPS27"	"PECAM1"	"BCL2L1"	"KRAS"	"ATP6V1H"	"THBS1"	NA	NA	NA	NA	NA	NA	NA	NA
"SMC1A"	"SUV39H2"	"CCND1"	"SMC1A"	0.884848484848485	"EMID1"	"DDX50"	"SUPT6H"	"PAK2"	"DOCK2"	"WWP2"	"HIPK1"	"ASAH1"	"ABI1"	"BTG3"	"HIPK1"	"CHI3L1"	"FUS"	"PSMD6"	"CCN2"	"CDH2"	NA	NA	NA	NA	NA	NA	NA	NA
"RAC1"	"ZMYM6"	"PSIP1"	"RAC1"	0.870136447110747	"RPS15"	"MDN1"	"DOCK2"	"DOCK2"	"ROR1"	"SF3A1"	"ZNF652"	"HPF1"	"CCNA1"	"MYBL1"	"CALD1"	"SYF2"	"TRAF5"	"FAM53B"	"KIF23"	"CNN3"	NA	NA	NA	NA	NA	NA	NA	NA
"DDX3X"	"COL1A1"	"RAC1"	"DDX3X"	0.825757575757576	"CALD1"	"PMPCB"	"DENND4A"	"EMID1"	"KIF23"	"VHL"	"CALCOCO2"	"EMID1"	"VCAN"	"CXCL2"	"TFB2M"	"DRP2"	"SRGAP3"	"CD74"	"ANXA2"	"COL1A2"	NA	NA	NA	NA	NA	NA	NA	NA
"PICALM"	"RPS9"	"DOCK2"	"PICALM"	0.794697220949409	"PRCP"	"LGMN"	"PPP2R5C"	"NUMA1"	"VCAM1"	"EAF2"	"SPTLC1"	"PCYOX1"	"ATP8B1"	"ZNF302"	"ALG5"	"SAMHD1"	"AREG"	"STAB1"	"THBS1"	"FBXL18"	NA	NA	NA	NA	NA	NA	NA	NA
"VCAM1"	"TRIM37"	"PICALM"	"VCAM1"	0.778369290856299	"PAK2"	"PPP1R12A"	"CTNNB1"	"ABHD11"	"CALD1"	"HNRNPM"	"HBB"	"COL3A1"	"PMS1"	"RPS15"	"SMC1A"	"RNASET2"	"PPP2R5C"	"RNF144A"	"FHL2"	"FH"	NA	NA	NA	NA	NA	NA	NA	NA
"DOCK2"	"IKZF1"	"NUMA1"	"DOCK2"	0.723387964513333	"TNPO1"	"CALD1"	"GGNBP2"	"CNTN1"	"LGMN"	"SMC1A"	"FBXO42"	"SRGN"	"COQ10B"	"SLC44A1"	"YIPF4"	"PPA2"	"SAMHD1"	"PTPRC"	"DDX42"	"BCL2L1"	NA	NA	NA	NA	NA	NA	NA	NA
"ROR1"	"DIAPH1"	"VCAM1"	"ROR1"	0.717891632863547	"PABPC1"	"ARL1"	"ATF3"	"CBX3"	"TOP2A"	"HOPX"	"HSD17B4"	"TBC1D1"	"ARHGAP25"	"DYNLRB1"	"NUP160"	"FBXO9"	"PECAM1"	"PPA2"	"GNG11"	"YIPF4"	NA	NA	NA	NA	NA	NA	NA	NA
"NUMA1"	"CTNNB1"	"PABPC1"	"NUMA1"	0.720325441182364	"ABI1"	"CPNE3"	"PHF20L1"	"PLK4"	"BCL2L1"	"GGNBP2"	"PABPC1"	"DIAPH1"	"DENND4A"	"ATP5PO"	"SEPTIN7"	"RPS15"	"GJA1"	"DOCK2"	"ASAH1"	"RPS28"	NA	NA	NA	NA	NA	NA	NA	NA
