"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"PTPRC.PTPRC"	"HIPK1"	"PTPRC"	"PTPRC"	1	"CCNC"	"PAK2"	"ABHD11"	"RHEB"	"VHL"	"ACAT1"	"NDUFB7"	"KAT6A"	"VHL"	"CNTN1"	"IKZF1"	"GNA15"	"DENND1B"	"TIA1"	"DDX3X"	"DDX3X"	"APOE"	"MTHFR"	"MTHFR"	"AKT1"	"ESR1"	"MTHFR"	"TP53"	"EGFR"
"PPP2R5C"	"SRC"	"PPP2R5C"	"PPP2R5C"	1	"USP25"	"SCAMP1"	"PTPRC"	"DDX3X"	"PPP2R5C"	"RAC1"	"NDUFB6"	"VCAN"	"PPM1F"	"NDUFB6"	"SRC"	"IKZF1"	"FBXO42"	"CCND3"	"KAT6A"	"HBB"	"EGFR"	"APOE"	"AKT1"	"VEGFA"	"VEGFA"	"APOE"	"MTHFR"	"TP53"
"TXNRD1"	"COL5A2"	"CTNNB1"	"TXNRD1"	1	"CMTM6"	"FBXL18"	"HIPK1"	"TUBA1B"	"FLT3"	"GNG11"	"DENND4A"	"CBY1"	"DENND1B"	"DDX3X"	"GNA15"	"MAP3K19"	"SREK1IP1"	"CD74"	"EAF2"	"SRC"	"MTHFR"	"EGFR"	"ESR1"	"APOE"	"APOE"	"EGFR"	"VEGFA"	"VEGFA"
"KAT6A"	"TRIM37"	"SMC1A"	"KAT6A"	0.994031221303949	"TAB2"	"FGD2"	"JMJD6"	"SRC"	"IKZF1"	"COL6A3"	"TAB2"	"CCND1"	"ZDHHC14"	"MDN1"	"LOX"	"BAHCC1"	"CNTN1"	"FUS"	"PNN"	"RHEB"	"IL6"	"AKT1"	"APOE"	"IL6"	"MTHFR"	"VEGFA"	"AKT1"	"AKT1"
"FLT3"	"PABPC1"	"PLCG2"	"FLT3"	0.993747437474375	"PAK2"	"DENND4A"	"SLC4A1"	"CBY1"	"PTPRC"	"POLR2B"	"PTPRC"	"ALG5"	"TRAF5"	"ZNF674"	"SCAMP1"	"SCAMP1"	"GSN"	"MDN1"	"IKZF1"	"SF1"	"AKT1"	"IL6"	"IL6"	"EGFR"	"AKT1"	"AKT1"	"IL6"	"APOE"
"CCND1"	"CBY1"	"DDX3X"	"CCND1"	0.991493078031024	"WTAP"	"SUV39H2"	"SEC62"	"MKNK1"	"SRC"	"MRPS27"	"PPA2"	"CMTM6"	"SRGAP3"	"CBX3"	"ECT2"	"ZNF674"	"THADA"	"PMS1"	"KRAS"	"PTPRC"	"VEGFA"	"VEGFA"	"TP53"	"TP53"	"IL6"	"TP53"	"APOE"	"MTHFR"
"IKZF1"	"EEF1A1"	"SRC"	"IKZF1"	0.990033222591362	"HEXA"	"RAP1A"	"STMN1"	"ROCK1"	"KAT6A"	"COPA"	"CCN2"	"MIA3"	"SLC11A1"	"COL3A1"	"ZDHHC14"	"CTNNB1"	"CCSER2"	"SEPTIN7"	"SYF2"	"B4GALT4"	"TP53"	"ESR1"	"EGFR"	"MTHFR"	"TP53"	"IL6"	"ESR1"	"IL6"
"SRC"	"EIF4EBP2"	"KAT6A"	"SRC"	0.984707704219899	"PNN"	"ASAH1"	"DENND1B"	"PRCP"	"FUS"	"WTAP"	"ABHD5"	"RNASET2"	"NKTR"	"SOX4"	"SNRPB2"	"CCND1"	"ZNF91"	"CALD1"	"ATP5PD"	"MAP3K19"	"ESR1"	"TP53"	"VEGFA"	"ESR1"	"EGFR"	"ESR1"	"EGFR"	"ESR1"
"FUS"	"MKNK1"	"KRAS"	"FUS"	0.982587064676617	"TBC1D1"	"SF1"	"ZMYM6"	"RAC1"	"CTNNB1"	"TRAF5"	"ZNF91"	"TIA1"	"SNRPB2"	"WIPI1"	"SLC38A10"	"MKNK1"	"SEPTIN7"	"SERPINE2"	"LGMN"	"WTAP"	NA	NA	NA	NA	NA	NA	NA	NA
"CTNNB1"	"MACROH2A1"	"VHL"	"CTNNB1"	0.981288580246914	"S100A11"	"RHEB"	"SCAMP1"	"SRGAP3"	"PLCG2"	"DYNLRB1"	"KIAA1109"	"THADA"	"SREK1"	"SREK1"	"STAB1"	"MMP2"	"HIPK1"	"TFB2M"	"HIRA"	"SRGAP3"	NA	NA	NA	NA	NA	NA	NA	NA
