"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"PTPRC.PTPRC"	"ABHD11"	"PTPRC"	"PTPRC"	1	"IKZF1"	"SCAMP1"	"ABHD11"	"DDX3X"	"SMC1A"	"PTPRE"	"RNASET2"	"CMAHP"	"FGD2"	"TRIM37"	"MYL12A"	"TPM2"	"ATP6V1H"	"MAP3K19"	"ARL1"	"HBB"	"TP53"	"IL6"	"ESR1"	"AKT1"	"APOE"	"MTHFR"	"EGFR"	"IL6"
"PPP2R5C"	"ZNF674"	"PPP2R5C"	"PPP2R5C"	1	"ATP6V1H"	"FBXL18"	"PTPRC"	"TUBA1B"	"SRC"	"PMAIP1"	"RPS15"	"WTAP"	"HNRNPM"	"PCOLCE2"	"IGFBP3"	"RHEB"	"DNAJC2"	"ACAT1"	"FBXL18"	"RHEB"	"VEGFA"	"TP53"	"MTHFR"	"VEGFA"	"VEGFA"	"IL6"	"AKT1"	"EGFR"
"TXNRD1"	"CBY1"	"CTNNB1"	"TXNRD1"	1	"MCCC2"	"FGD2"	"HIPK1"	"RHEB"	"PTPRC"	"CHI3L1"	"HNRNPM"	"HSD17B12"	"DENND1B"	"BCL2L1"	"ARHGDIB"	"BCAR3"	"HEXA"	"HIPK1"	"CMAHP"	"VHL"	"MTHFR"	"VEGFA"	"APOE"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"MTHFR"
"KAT6A"	"SRC"	"SMC1A"	"KAT6A"	0.994031221303949	"LRRC59"	"DENND4A"	"JMJD6"	"SRC"	"FLT3"	"LITAF"	"EMID1"	"PTPRC"	"SERPINE2"	"VHL"	"PLK4"	"GNA15"	"FAT1"	"GIT2"	"POLR3F"	"COL1A1"	"AKT1"	"MTHFR"	"AKT1"	"IL6"	"AKT1"	"AKT1"	"VEGFA"	"TP53"
"FLT3"	"PABPC1"	"PLCG2"	"FLT3"	0.993747437474375	"JMJD6"	"SUV39H2"	"SLC4A1"	"ROCK1"	"IKZF1"	"TGFBI"	"VIM"	"DDX50"	"DNAJC2"	"MRPS27"	"BTG1"	"LUM"	"TFB2M"	"CD69"	"COL1A1"	"PAK2"	"EGFR"	"EGFR"	"TP53"	"ESR1"	"MTHFR"	"TP53"	"APOE"	"VEGFA"
"CCND1"	"ZMYM6"	"DDX3X"	"CCND1"	0.991493078031024	"SF1"	"SRGN"	"WWP2"	"IKZF1"	"KAT6A"	"PPP2R3C"	"FERMT2"	"HIPK1"	"CHI3L1"	"ABI1"	"SCAMP1"	"PPM1F"	"BCL2L1"	"HNRNPM"	"COQ10B"	"ZNF674"	"ESR1"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"EGFR"	"MTHFR"	"APOE"
"IKZF1"	"MACROH2A1"	"SRC"	"IKZF1"	0.990033222591362	"SEC62"	"ASAH1"	"SEC62"	"CBY1"	"CTNNB1"	"PMS1"	"THBS1"	"SAMHD1"	"SPARC"	"DOCK2"	"ACTL6A"	"FAM53B"	"PICALM"	"GGNBP2"	"SLC11A1"	"FBXL18"	"APOE"	"APOE"	"IL6"	"EGFR"	"ESR1"	"VEGFA"	"ESR1"	"AKT1"
"SRC"	"TRIM37"	"KAT6A"	"SRC"	0.984707704219899	"HEXA"	"LITAF"	"STMN1"	"RAC1"	"FUS"	"RNF144A"	"PMS1"	"USPL1"	"BTG3"	"USPL1"	"LGMN"	"JMJD6"	"ZMYM6"	"HBB"	"CLU"	"SEPTIN7"	"IL6"	"AKT1"	"EGFR"	"APOE"	"IL6"	"APOE"	"TP53"	"ESR1"
"FUS"	"EEF1A1"	"KRAS"	"FUS"	0.982587064676617	"DIAPH1"	"SMC1A"	"DENND1B"	"TRIM37"	"PLCG2"	"NCOA6"	"TRAF5"	"DIAPH1"	"ZNF91"	"SLC11A1"	"LGALS3"	"WIPI2"	"TAB2"	"MCCC2"	"FAT1"	"DDX3X"	NA	NA	NA	NA	NA	NA	NA	NA
"CTNNB1"	"EIF4EBP2"	"VHL"	"CTNNB1"	0.981288580246914	"PAK2"	"RHEB"	"ZMYM6"	"PRCP"	"PPP2R5C"	"PIGK"	"NUP160"	"CMPK1"	"THADA"	"BRD4"	"SLC44A1"	"STAB1"	"TNPO1"	"RPS9"	"RPS28"	"ANTXR1"	NA	NA	NA	NA	NA	NA	NA	NA
"BRD4"	"DDX3X"	"ABI1"	"BRD4"	0.977272727272727	"ABHD11"	"MAP3K19"	"SCAMP1"	"TCEA1"	"VHL"	"TFB2M"	"COPA"	"APP"	"GIT2"	"RHEB"	"LYST"	"ATP5PD"	"LYST"	"PIAS2"	"SERPINE2"	"CCN2"	NA	NA	NA	NA	NA	NA	NA	NA
"PLCG2"	"RPS15"	"BTG1"	"PLCG2"	0.96476391825229	"SRGAP3"	"ARHGDIB"	"FBXL18"	"MKNK1"	"CD74"	"TNPO1"	"DYNLRB1"	"MMP2"	"IKZF1"	"VCAM1"	"FHL2"	"ZNF91"	"CTNNB1"	"RUVBL2"	"PAK2"	"COL5A1"	NA	NA	NA	NA	NA	NA	NA	NA
"VHL"	"CBX3"	"TXNRD1"	"VHL"	0.954861111111111	"TRIM37"	"RTN4"	"SREK1IP1"	"PAK2"	"CCNC"	"ABI1"	"YIPF4"	"WIPI2"	"GGNBP2"	"EEF1A1"	"COL1A1"	"TRIM13"	"PPA2"	"NIP7"	"HSD17B12"	"TRIM37"	NA	NA	NA	NA	NA	NA	NA	NA
"KRAS"	"COL1A1"	"CCND3"	"KRAS"	0.936931348221671	"CCNC"	"COL1A1"	"KIAA1109"	"RAP1A"	"ABI1"	"MCTS1"	"CRISP3"	"DNAJC2"	"COL1A2"	"JMJD6"	"TMEM126B"	"PABPC1"	"RAC1"	"CBX5"	"ARHGDIB"	"ARL1"	NA	NA	NA	NA	NA	NA	NA	NA
"ABI1"	"CLTA"	"FUS"	"ABI1"	0.933333333333333	"DOCK2"	"DDX3X"	"FGD2"	"HBB"	"PSIP1"	"GNG11"	"VCAN"	"ZNF493"	"DIAPH1"	"SRGAP3"	"STAB1"	"CNPY2"	"PMS1"	"CHI3L1"	"SLC4A1"	"PLOD2"	NA	NA	NA	NA	NA	NA	NA	NA
"CD74"	"SRGAP3"	"IKZF1"	"CD74"	0.932950191570881	"ACTL6A"	"TARDBP"	"PIKFYVE"	"SRGAP3"	"KRAS"	"MYL9"	"BAHCC1"	"LGALS3"	"CNN3"	"IST1"	"MCCC2"	"MYL12A"	"VIM"	"PPP2R3C"	"PSMD6"	"FERMT2"	NA	NA	NA	NA	NA	NA	NA	NA
"CCNC"	"EXT1"	"SUZ12"	"CCNC"	0.929924242424242	"TUBA1B"	"ZNF493"	"TRIM37"	"CLTA"	"RAC1"	"RNF130"	"SPTLC1"	"LYST"	"IST1"	"SEC62"	"POLR2B"	"PRMT1"	"CLK4"	"TNPO1"	"NDUFB7"	"POLR3F"	NA	NA	NA	NA	NA	NA	NA	NA
"BTG1"	"SEPTIN7"	"CD74"	"BTG1"	0.927350427350427	"HBB"	"TMED5"	"SPTLC1"	"WTAP"	"EXT1"	"NUP160"	"FAT1"	"SREK1"	"NDUFS4"	"SOX4"	"DDX42"	"GNG11"	"SUV39H2"	"RTN4"	"COL1A2"	"GTF2F2"	NA	NA	NA	NA	NA	NA	NA	NA
"PSIP1"	"DNAJC2"	"CCNC"	"PSIP1"	0.921962750672209	"WTAP"	"PAK2"	"HSD17B12"	"ABI1"	"DDX3X"	"RUVBL2"	"GNG11"	"PRCP"	"DDX50"	"PTPRC"	"FBXO42"	"PTPRE"	"HERPUD1"	"TSPYL1"	"RTN4"	"PICALM"	NA	NA	NA	NA	NA	NA	NA	NA
"SUZ12"	"FGD2"	"FAT1"	"SUZ12"	0.911732456140351	"NIP7"	"VHL"	"CCSER2"	"SF1"	"PICALM"	"EIF4G2"	"FH"	"CD96"	"KIAA1109"	"RPS15"	"CCN2"	"SPARC"	"WIPI1"	"PSIP1"	"CXCL2"	"SCAMP1"	NA	NA	NA	NA	NA	NA	NA	NA
"CCND3"	"IKZF1"	"BRD4"	"CCND3"	0.886274509803922	"PNN"	"DIAPH1"	"ZMYND11"	"EMID1"	"CCND3"	"COPA"	"TOR1AIP1"	"SLC11A1"	"CCNA1"	"RPS24"	"BCL2L1"	"PICALM"	"LEPROT"	"SUV39H2"	"PRMT1"	"BCAR3"	NA	NA	NA	NA	NA	NA	NA	NA
"SMC1A"	"MLXIP"	"FLT3"	"SMC1A"	0.879365079365079	"ZMYM6"	"PABPC1"	"FAM53B"	"PTPRC"	"NUMA1"	"TIA1"	"CXCL2"	"PIGK"	"MIA3"	"HIRA"	"SRC"	"EIF4G2"	"WLS"	"PPM1F"	"FUS"	"PTPRC"	NA	NA	NA	NA	NA	NA	NA	NA
"RAC1"	"PSMD6"	"CCND1"	"RAC1"	0.866467628277804	"HIPK1"	"TAB2"	"SUPT6H"	"CNTN1"	"DOCK2"	"GTF2F2"	"CMAHP"	"TIA1"	"DDX42"	"CHI3L1"	"FUS"	"SREK1"	"SNRPB2"	"MCTS1"	"S100A11"	"MAP3K19"	NA	NA	NA	NA	NA	NA	NA	NA
"EXT1"	"TRAF5"	"PSIP1"	"EXT1"	0.842385250517598	"FBXO9"	"ROCK1"	"DOCK2"	"USP25"	"KIF23"	"CNPY2"	"LRRC59"	"BTG1"	"PICALM"	"CNN3"	"CNP"	"ZNF302"	"WIPI2"	"ZNF91"	"CUL2"	"COL5A2"	NA	NA	NA	NA	NA	NA	NA	NA
"DDX3X"	"COL5A2"	"EXT1"	"DDX3X"	0.823232323232323	"MDN1"	"IST1"	"DENND4A"	"VHL"	"BRD4"	"THBS1"	"SEC62"	"BCL2L1"	"VPS35"	"NNMT"	"PNN"	"ATP5PO"	"ABHD11"	"CNPY2"	"LEPROT"	"EXT1"	NA	NA	NA	NA	NA	NA	NA	NA
"PICALM"	"VHL"	"RAC1"	"PICALM"	0.795233634868376	"BAHCC1"	"GSN"	"PPP2R5C"	"ABHD11"	"CALD1"	"CMPK1"	"B4GALT4"	"NDUFB7"	"QPCT"	"KAT6A"	"ATP6V1H"	"ABI1"	"CCNC"	"THADA"	"STAB1"	"B4GALT4"	NA	NA	NA	NA	NA	NA	NA	NA
"FAT1"	"PLK4"	"DOCK2"	"FAT1"	0.784965034965035	"NDUFB7"	"SEPTIN7"	"CTNNB1"	"NUMA1"	"CCND1"	"TPM2"	"MAP3K19"	"TCEA1"	"STMN1"	"HOPX"	"TNPO1"	"NNMT"	"PIKFYVE"	"SF3A1"	"CNP"	"MYL12A"	NA	NA	NA	NA	NA	NA	NA	NA
"VCAM1"	"RAC1"	"PICALM"	"VCAM1"	0.778837602307938	"NUMA1"	"TCEA1"	"GGNBP2"	"PLCG2"	"LGMN"	"EAF2"	"SCAMP1"	"FHL2"	"PTPRC"	"SPARC"	"WIPI2"	"CD96"	"ROCK1"	"BAHCC1"	"DENND1B"	"FH"	NA	NA	NA	NA	NA	NA	NA	NA
"DOCK2"	"CTNNB1"	"NUMA1"	"DOCK2"	0.728102432478096	"USP25"	"PNN"	"ATF3"	"DOCK2"	"BCL2L1"	"TMED5"	"EIF4G2"	"PRMT1"	"TARDBP"	"SREK1"	"RPP30"	"SF3A1"	"WTAP"	"NDUFB6"	"EIF4G2"	"LOX"	NA	NA	NA	NA	NA	NA	NA	NA
"NUMA1"	"POLR3F"	"VCAM1"	"NUMA1"	0.711497923520816	"SRC"	"ELOVL5"	"THADA"	"ELOC"	"FH"	"PPA2"	"ARL1"	"SPARC"	"TCEA1"	"CUL2"	"COPA"	"SPTLC1"	"ATP5PO"	"COL6A3"	"MME"	"NIP7"	NA	NA	NA	NA	NA	NA	NA	NA
