"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"HMGA2.HMGA2"	"NECTIN1"	"ROS1"	"ROS1"	1	"SFTPC"	"SLC2A1"	"PDK4"	"E2F7"	"E2F7"	"SRRM3"	"SPINK1"	"PPP1R26P1"	"AL117329.1"	"SFTPA2"	"SLC46A2"	"KRT16"	"AC105389.2"	"SERPINB5"	"LINC00710"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"NECTIN1"
"RP1"	"AQP4"	"ZBTB16"	"MUC21"	0.680555555555556	"AQP4"	"NECTIN1"	"DLX6"	"ZBTB16"	"ZBTB16"	"AC010595.1"	"LRP2"	"DLX6.AS1"	"AC046158.3"	"IL36G"	"NKX1.2"	"SBSN"	"LINC00710"	"AC138305.1"	"ZBTB20.AS5"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"	"MMP12"
"SFN"	"S1PR5"	"HMGA2"	"HMGA2"	0.653959669672136	"ADH1B"	"GRHL3"	"GABRA3"	"KRT6A"	"ROS1"	"TMEM158"	"B4GALNT4"	"PGC"	"IGSF1"	"GPRC5A"	"FSTL5"	"PNCK"	"DIAPH1.AS1"	"DMRTA2"	"LINC01234"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"	"KRT6A"
"HOXC13"	"TICRR"	"MUC21"	"ZBTB16"	0.583333333333333	"GRHL3"	"TICRR"	"GPRC5A"	"TFAP2A"	"KRT6A"	"AC131182.1"	"PTHLH"	"SFTPC"	"MMP10"	"GRHL3"	"IGSF1"	"FOXM1"	"GDNF"	"CELF2.AS1"	"COL4A3"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"GRHL3"
"MMP3"	"GRHL3"	"APOBEC3B"	"E2F7"	0.591646359313779	"FRMD5"	"E2F7"	"VSIG2"	"CDC45"	"HMGA2"	"SPRR3"	"AP005230.1"	"GGTLC1"	"GABRA3"	"KRT4"	"LRRN4"	"DLX6.AS1"	"B4GALNT1"	"LINC01980"	"MAGI1.AS1"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"	"NXPH4"
"SUSD2"	"SLC2A1"	"CNTNAP2"	"CNTNAP2"	0.536880882739918	"SLC2A1"	"TFAP2A"	"C8B"	"HOXC13"	"CHRNB4"	"IVL"	"DIAPH1.AS1"	"SYNE1"	"CTSV"	"GAL"	"VTCN1"	"AC116049.2"	"TMEM158"	"ALDH3B2"	"HOXC10"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"	"KRT4"
"AKR1B10"	"FRMD5"	"LRP2"	"CHRNB4"	0.522842572495832	"GCNT3"	"FOXM1"	"ARNTL2"	"CHRNB4"	"APOBEC3B"	"APOBEC3B"	"AC106799.2"	"TMEM117"	"SFTPA2"	"E2F7"	"ABCA3"	"GABRA3"	"LY6K"	"GJB6"	"TMEM117"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"	"WNK2"
"MMP10"	"TFAP2A"	"WNK2"	"APOBEC3B"	0.512605293767621	"BBOX1.AS1"	"CDC45"	"HOXC8"	"WNK2"	"MUC21"	"GNG4"	"SFTPC"	"AC079160.1"	"HOXA10"	"ANKRD44.IT1"	"ATOH8"	"AL033397.1"	"AL162581.1"	"WNK2"	"SCARNA7"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"	"NTRK2"
"TNS4"	"AP001972.5"	"CHRNB4"	"LRP2"	0.48588941410429	"SCN7A"	"FAM83B"	"ZIC2"	"ROS1"	"WNK2"	"AP005230.1"	"PPP1R26P1"	"STXBP5L"	"AC090181.3"	"CHRNB4"	"LINC00710"	"FRMD5"	"APOBEC3B"	"KIAA0408"	"PSAT1"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"	"DMRTA2"
"COL17A1"	"ANXA8"	"E2F7"	"WNK2"	0.481012364797209	"VSIG2"	"GJB2"	"ROS1"	"GNGT1"	"TFAP2A"	"WDR72"	"CTSV"	"CPB2"	"SLC25A5P5"	"INA"	"KRT4"	"SFTPC"	"GCNT3"	"NR0B2"	"FOLR1"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"	"AL049555.1"
"TFAP2A"	"PSAT1"	"HOXC13"	"KRT6A"	0.445907261707911	"PSAT1"	"PSAT1"	"COL17A1"	"SUSD2"	"HOXC13"	"SBSN"	"RHOV"	"FRMD5"	"AC058791.1"	"AC116407.1"	"SELENBP1"	"AC116407.1"	"PPP1R26P1"	"CALML3.AS1"	"SFTPC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KIAA0408"
"AC110760.2"	"FAM83B"	"SIX2"	"KRT4"	0.432759090909091	"SFTA1P"	"TMEM117"	"PITX1"	"APOBEC3B"	"CNTNAP2"	"ZIC5"	"AC010595.1"	"RP1"	"HTR3A"	"AC087286.1"	"GABRA3"	"B4GALNT1"	"TMEM117"	"ZBTB16"	"IGF2BP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FAM83B"
