"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"RHOA.RHOA"	"RPN2"	"JUN"	"JUN"	0.87885	"AK2"	"RPN2"	"SDF4"	"DCTN1"	"SMARCB1"	"VPS9D1"	"NAP1L2"	"KDELR1"	"BRSK2"	"VPS9D1"	"CDC42"	"MAD2L2"	"NEIL2"	"SNAP91"	"LRRC8A"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"PPP2R2C"
"LAMTOR2"	"AK2"	"PIK3R1"	"SMARCB1"	0.800248466655824	"RER1"	"KDELR1"	"RER1"	"APBB1"	"GNG5"	"EHD2"	"APC2"	"NCAM2"	"ECSIT"	"TSPO"	"NEIL2"	"DENND2A"	"UNC5A"	"DCAKD"	"XAB2"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"	"LDOC1"
"NLGN2"	"PRPF6"	"SMARCB1"	"PIK3R1"	0.731805555555556	"SCP2"	"RAB11FIP4"	"MAD2L2"	"SMARCB1"	"RHOA"	"KBTBD11"	"PPP1R7"	"RAB11FIP4"	"SERBP1"	"HINT3"	"ZBTB47"	"SERBP1"	"FCGRT"	"ATXN7L3B"	"PHYHIPL"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"	"TTC3"
"PSMB2"	"ATAD1"	"NRAS"	"NLGN2"	0.70375	"CAPZA1"	"SYDE1"	"AGTRAP"	"KIF3A"	"PRPF6"	"APOE"	"RHOBTB2"	"APC2"	"RPA2"	"NMNAT2"	"BPGM"	"SF3A1"	"MUL1"	"HMGN2"	"UBQLN4"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"CCSER2"
"GNG5"	"TOM1L2"	"RHOA"	"NRAS"	0.630725365829592	"CDC42"	"DDOST"	"SZRD1"	"PRPF6"	"PSMB2"	"FN3K"	"TAB1"	"REEP4"	"XAB2"	"NR1H2"	"CDC42BPB"	"RGS19"	"BCL2L2"	"CRMP1"	"NAP1L3"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"	"JPH3"
"PRPF6"	"GOLM1"	"LAMTOR2"	"PSMB2"	0.585444444444445	"DNAJC12"	"PTGES3P1"	"MRTO4"	"RHOA"	"JUN"	"EIF3I"	"BTBD17"	"TM7SF2"	"SART1"	"SHC2"	"TPPP"	"ZBTB47"	"HNRNPH2"	"PQBP1"	"MAD2L2"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"	"RAB11FIP4"
"RPA2"	"RAB11FIP4"	"GNG5"	"RHOA"	0.594928207752313	"ABCD3"	"ATP6V0A1"	"MUL1"	"GNAO1"	"RGS19"	"PMVK"	"SULF2"	"ZC3H7B"	"DENND2A"	"RXRB"	"ARHGAP31"	"MFSD6"	"SZRD1"	"TXN2"	"CD99"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"	"SCP2"
"DCTN1"	"TRIM8"	"RPA2"	"HEY1"	0.553357142857143	"NFKBIL1"	"DCTN1"	"DDOST"	"PSMB2"	"HEY1"	"MUL1"	"SCD"	"TSPYL2"	"PHYHIPL"	"OLFML3"	"PMVK"	"SNX7"	"APOE"	"TWF2"	"VPS51"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"	"BEX4"
"APBB1"	"SYDE1"	"RGS19"	"PRPF6"	0.539390792441387	"LAPTM4A"	"DAP"	"CDC42"	"KIF5C"	"NRAS"	"OLFML3"	"CRISPLD1"	"NR2F1"	"PHACTR3"	"AP2B1"	"CNRIP1"	"LRRTM3"	"SH3BGRL3"	"VPS9D1"	"BRINP1"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"	"GRAMD1B"
"HEY1"	"TAB1"	"NLGN2"	"RPA2"	0.500328755853865	"SZRD1"	"SLC39A1"	"SH3BGRL3"	"ADCY5"	"DCTN1"	"TCF25"	"ATAT1"	"CAPZA1"	"CALCOCO1"	"PNMA3"	"CNTFR"	"ASF1A"	"KIF5C"	"ATP6V0A1"	"MFSD6"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"	"PSD"
