"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"GNG5.GNG5"	"RPN2"	"NRAS"	"NRAS"	0.756870438995511	"AK2"	"RPN2"	"SDF4"	"DCTN1"	"PRPF6"	"MAPT"	"BLCAP"	"CASKIN2"	"CBX4"	"RUNDC3A"	"ARMCX1"	"TCF25"	"CNPY4"	"PCGF2"	"GNG5"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"	"SCP2"
"NLGN2"	"NLGN2"	"TRAF7"	"NLGN2"	0.731805555555556	"CAPZA1"	"DDOST"	"DVL1"	"GNAO1"	"GNG5"	"KLC2"	"HSD17B14"	"CALN1"	"FAM168B"	"ZBTB18"	"CD99L2"	"RXRB"	"MARCKS"	"BEX4"	"NTM"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"	"CCSER2"
"DCTN1"	"TOM1L2"	"GNG5"	"HEY1"	0.5715	"DGCR2"	"SYDE1"	"RER1"	"PRPF6"	"TRAF7"	"CADM2"	"OMG"	"TSPYL2"	"TOM1L2"	"CMTM6"	"PWP1"	"KIF1A"	"STX1B"	"C11orf68"	"ANTXR1"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"	"ATP6V0A1"
"APBB1"	"PRPF6"	"NLGN2"	"TRAF7"	0.560406018120922	"NFKBIL1"	"RAB11FIP4"	"RERE"	"APBB1"	"HEY1"	"BTBD17"	"NAP1L2"	"TXN2"	"ARID5A"	"CADM4"	"NUCB1"	"PLCD3"	"DPYSL4"	"ANXA5"	"VPS51"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"	"RAB11FIP4"
"ATP1A3"	"RAB11FIP4"	"PRPF6"	"GNG5"	0.556105177510295	"CNN3"	"KDELR1"	"EXOSC10"	"SOX2"	"NRAS"	"BRSK2"	"NLGN2"	"ZNF32"	"TMBIM1"	"OMG"	"CELF5"	"NUCB1"	"TMEM59L"	"TTLL12"	"ECSIT"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"	"RHOQ"
"PRPF6"	"AK2"	"APBB1"	"PRPF6"	0.585444444444445	"DUSP26"	"ATP6V0A1"	"AGTRAP"	"ADCY5"	"DCTN1"	"ZFAND3"	"RUNDC3A"	"NRSN1"	"DNAJC12"	"C11orf68"	"LRRN1"	"RPL36AL"	"LGI3"	"SDF4"	"ZNF703"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"	"RNF187"
"HEY1"	"KDELR1"	"HEY1"	"APBB1"	0.501892283215908	"C11orf68"	"NFKBIL1"	"CAPZB"	"HEY1"	"GNAO1"	"ABCD3"	"C11orf68"	"GPX1"	"SOX2"	"KLHDC3"	"SLC44A2"	"ZNF32"	"FDFT1"	"RRS1"	"ARHGDIG"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"	"DCTN1"
"VASP"	"HADHA"	"GNAO1"	"GNAO1"	0.491032342280805	"SCP2"	"PFN1"	"DDOST"	"SNAP91"	"NLGN2"	"CRISPLD1"	"CCSER2"	"EHD2"	"HSD17B14"	"RAB11FIP4"	"MRPS16"	"BEX4"	"NRAS"	"ADAM22"	"CBX4"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"	"ZFAND3"
"GNAO1"	"CASKIN2"	"VASP"	"DCTN1"	0.452213086535532	"WLS"	"EIF3I"	"CDC42"	"TRAF7"	"APBB1"	"ATXN7L3B"	"LINC01351"	"PWP1"	"CAPZB"	"PODXL2"	"CALN1"	"ANTXR1"	"SPOCK1"	"KPNA6"	"GNAZ"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"	"ABCD3"
"ARHGDIG"	"LAMB2"	"ADCY5"	"SOX2"	0.433579166666667	"RER1"	"SLC39A1"	"ID3"	"NLGN2"	"HADHA"	"TRIP6"	"MADD"	"RAB6A"	"ZBTB18"	"VAX2"	"CNPY4"	"FCGRT"	"CNN3"	"HES6"	"GAL3ST4"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"	"SOX2"
