"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"SYNGAP1.SYNGAP1"	"RPN2"	"SMARCB1"	"SMARCB1"	0.80056372651185	"AK2"	"RPN2"	"SDF4"	"DCTN1"	"SMARCB1"	"ARMCX1"	"NFKBIB"	"OLFML3"	"ID4"	"TCF12"	"ATXN7L3B"	"GTF2F1"	"GPX1"	"ZBTB18"	"NMNAT2"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"	"NALCN"
"SLC2A4RG"	"HIRIP3"	"NRAS"	"NRAS"	0.745444625251953	"CDC42"	"SYDE1"	"DVL1"	"NALCN"	"PRPF6"	"RERE"	"NCAM1"	"TNK2"	"KPNA6"	"TOMM40"	"PDE2A"	"ZBTB18"	"CISD1"	"OLIG1"	"SYNGR1"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"	"SCP2"
"PATZ1"	"TOM1L2"	"TRAF7"	"SLC2A4RG"	0.678091638888889	"CAPZA1"	"RAB11FIP4"	"RER1"	"SMARCB1"	"GNG5"	"RGS19"	"NAP1L2"	"KIF1A"	"FCGRT"	"CCSER2"	"SLC7A1"	"NUCB1"	"TCF12"	"SYNGR1"	"ZMAT2"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"	"DDX42"
"GNG5"	"ATAD1"	"SYNGAP1"	"HEY1"	0.58867700810762	"RER1"	"KDELR1"	"RERE"	"PRPF6"	"SLC2A4RG"	"IMPDH2"	"BEX4"	"CTNND2"	"VPS51"	"ATP6V0A1"	"DNAJC12"	"KCNN2"	"GABBR1"	"SLC22A17"	"TMEM147"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"	"MUL1"
"DCTN1"	"CADM4"	"GNG5"	"GNG5"	0.5715	"HNRNPUL2"	"DDOST"	"AGTRAP"	"GNAO1"	"HEY1"	"ATCAY"	"ATCAY"	"ALDH5A1"	"SLC7A1"	"CISD1"	"ZMAT2"	"SPATS2L"	"NFKBIB"	"CALCOCO1"	"PSMC4"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"	"CCSER2"
"NLGN2"	"AK2"	"SLC2A4RG"	"TRAF7"	0.585444444444445	"ABCD3"	"ATP6V0A1"	"SZRD1"	"HADHA"	"RGS19"	"ARHGDIB"	"SLC7A5"	"ETHE1"	"OMG"	"LEPROT"	"HEY1"	"MRPL10"	"UBXN1"	"RRS1"	"LEPROT"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"	"DCTN1"
"APBB1"	"RRS1"	"RGS19"	"RGS19"	0.560406018120922	"NLGN2"	"NFKBIL1"	"CAPZB"	"SNAP91"	"TRAF7"	"LDOC1"	"MUL1"	"BRINP1"	"FOXRED2"	"TCEAL2"	"HSD17B14"	"ATAD1"	"CASKIN2"	"CNN3"	"RGS10"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"	"PHACTR3"
"PRPF6"	"RAB11FIP4"	"NLGN2"	"SYNGAP1"	0.522718253968254	"ALDH5A1"	"SLC39A1"	"MUL1"	"HEY1"	"NRAS"	"EHD2"	"EHD3"	"SHISA5"	"NFKBIL1"	"SCP2"	"GPKOW"	"POLDIP3"	"ABHD4"	"MAPK8IP3"	"WLS"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"	"TMEM147"
"MAPKAPK3"	"DDOST"	"PRPF6"	"TCF12"	0.517272811722555	"NFKBIL1"	"NALCN"	"DDOST"	"NLGN2"	"DCTN1"	"UBTF"	"RPS23"	"ATCAY"	"AK2"	"MFSD6"	"DNER"	"SLC7A5"	"SNAP91"	"B4GALNT4"	"HES6"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"	"RAB11FIP4"
"TCF12"	"HNRNPUL2"	"MAPKAPK3"	"NLGN2"	0.504790614257055	"GABBR1"	"CASKIN2"	"CDC42"	"ADCY5"	"MUL1"	"SF1"	"CALCOCO1"	"TSPO"	"TAB1"	"CTNND2"	"RXRB"	"TMBIM1"	"DUSP26"	"SNAP91"	"GNG5"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"	"RPN2"
