"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"IL2RB.IL2RB"	"CDCA2"	"EPHA3"	"EPHA3"	0.943846993703599	"AC007878.1"	"CDCA2"	"AOC1"	"CA9"	"CA9"	"SLC4A10"	"ABHD11.AS1"	"NRARP"	"LINC01358"	"FAP"	"GDF6"	"CHL1.AS1"	"LINC00702"	"HECW1"	"APOLD1"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"	"C5orf46"
"EPHA3"	"GPR4"	"TUBB4A"	"TUBB4A"	0.760684770600251	"H2BC4"	"GABRD"	"HECW1"	"IL2RB"	"PCSK6"	"FUT3"	"PCSK6"	"OXGR1"	"TMEM72"	"SFTA1P"	"LINC01614"	"HSPB7"	"TRAV13.1"	"TMEM91"	"RNU1.14P"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"	"CA9"
"IDO1"	"GPR182"	"SLC34A2"	"SLC34A2"	0.756618909008052	"KLF7.IT1"	"OSTM1.AS1"	"SLC4A1"	"PCSK6"	"EPHA3"	"RHBG"	"KIF6"	"SCNN1A"	"FAM163A"	"AL606970.1"	"FASLG"	"TMEM72"	"NFASC"	"SERPINE2"	"AOC1"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"	"LINC02048"
"MYEOV"	"KBTBD12"	"IL2RB"	"IL2RB"	0.711805555555556	"GSN.AS1"	"CSPG4"	"IYD"	"EPHA3"	"IL2RB"	"AL161773.1"	"AC011389.1"	"HILPDA"	"ANGPT2"	"PLPPR5"	"SLC5A3"	"GNLY"	"Z98751.2"	"ADSS1"	"MYEOV"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"	"KISS1R"
"LOXL2"	"EGFR.AS1"	"CA9"	"CA9"	0.569758453636912	"SNORA49"	"CA9"	"SYT7"	"IDO1"	"TUBB4A"	"SEZ6L2"	"LHFPL3.AS2"	"MCF2L.AS1"	"LINC01929"	"FUT6"	"MCF2L.AS1"	"SNORA49"	"TNFAIP6"	"MAL"	"PTP4A2P2"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"	"LINC02747"
"ENTPD3"	"IRX1"	"FBXO2"	"FBXO2"	0.5	"SEMA5A.AS1"	"AL391845.2"	"INSRR"	"LOXL2"	"SLC34A2"	"AC007878.1"	"CCNO"	"PTP4A2P2"	"C5orf46"	"NRARP"	"TRPM5"	"SEMA5A.AS1"	"LINC01077"	"LRRTM2"	"DAO"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"	"SLC9A4"
"ANGPT2"	"GABRD"	"PCSK6"	"PCSK6"	0.298101361111111	"SCARNA13"	"PCSK6"	"ADRB1"	"TUBB4A"	"IDO1"	"AC138932.2"	"LINC00462"	"PI3"	"CDCA2"	"PPDPFL"	"PLPPR5"	"MIR210"	"MAL"	"NEFM"	"RHBG"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"	"SLC6A3"
"NPTX2"	"AL365181.2"	"IL21R"	"IL21R"	0.0334	"AP005131.4"	"IRX1"	"EPHA3"	"IL21R"	"LOXL2"	"AC010655.2"	"AC124854.1"	"ADRB1"	"C3orf85"	"NDNF"	"CCNO"	"SCNN1B"	"SFTA1P"	"CHSY3"	"RPS6KA6"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"AC103563.7"
"CA9"	"AC087045.3"	"LOXL2"	"LOXL2"	0.0300092606092289	"MT.TP"	"TMEM155"	"CP"	"MYEOV"	"FBXO2"	"MCHR1"	"ARMH4"	"CGNL1"	"PNCK"	"LINC00462"	"GABRD"	"FCAMR"	"LINC02542"	"AC138932.2"	"SCG5"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"	"MAL"
"OPCML"	"OSTM1.AS1"	"IDO1"	"IDO1"	0.018	"SNORA33"	"C5orf46"	"ANO2"	"ENTPD3"	"IL21R"	"ALDOC"	"SCNN1A"	"AC007342.5"	"LHX9"	"PCSK6"	"CLCNKB"	"AC005082.1"	"TMEM72"	"TMEM72"	"LINC00702"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"	"SLC6A20"
