"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"IL2RB.IL2RB"	"CDCA2"	"EPHA3"	"EPHA3"	0.943846993703599	"H2BC4"	"CDCA2"	"AOC1"	"IL2RB"	"CA9"	"AL109615.1"	"KISS1R"	"KCNJ13"	"SCN4A"	"SCG5"	"SLC6A3"	"LINC01614"	"PTHLH"	"ANGPT2"	"SERPINE2"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"UGT3A1"
"EPHA3"	"LDLRAD4.AS1"	"TUBB4A"	"TUBB4A"	0.760684770600251	"H4C8"	"CA9"	"HECW1"	"CA9"	"PCSK6"	"KCNJ13"	"LRRTM2"	"AGXT2"	"SEMA5B"	"LINC01587"	"LINC00462"	"AC114803.1"	"C5orf58"	"UGT3A1"	"FAXC"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"	"AQP3"
"IDO1"	"IRX1"	"SLC34A2"	"SLC34A2"	0.756618909008052	"SCARNA21"	"GABRD"	"SLC4A1"	"PCSK6"	"IL2RB"	"PLPPR5"	"CYS1"	"RNF152"	"FABP6"	"CA9"	"FASLG"	"AC015910.1"	"OSTM1.AS1"	"AC021744.1"	"FATE1"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"	"NDNF"
"MYEOV"	"AL365181.2"	"IL2RB"	"IL2RB"	0.711805555555556	"KLF7.IT1"	"OSTM1.AS1"	"MEOX1"	"EPHA3"	"EPHA3"	"MYEOV"	"LDLRAD4.AS1"	"AC148476.1"	"KCNJ13"	"HILPDA"	"AC007326.1"	"PLVAP"	"RNU5B.1"	"SCN4B"	"SYT7"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"IRX1"
"LOXL2"	"GABRD"	"CA9"	"CA9"	0.569758453636912	"AP005131.1"	"C6orf223"	"SLC13A2"	"IDO1"	"TUBB4A"	"OXGR1"	"AC007406.3"	"AL096799.1"	"PHYHIPL"	"AP005131.1"	"AL096711.2"	"LINC01929"	"SEMA3B.AS1"	"AOC1"	"C15orf48"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"	"SLC5A3"
"ANGPT2"	"KBTBD12"	"FBXO2"	"FBXO2"	0.298101361111111	"GSN.AS1"	"CSPG4"	"SCN4A"	"LOXL2"	"SLC34A2"	"SCN4B"	"LINC01929"	"AC110749.1"	"LINC01929"	"AC022509.1"	"MIR3609"	"AC011389.1"	"CGNL1"	"ADAM18"	"GZMH"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"	"AOC1"
"NPTX2"	"AL096711.2"	"PCSK6"	"PCSK6"	0.0334	"AC138409.1"	"AL391845.2"	"SYT7"	"TUBB4A"	"IDO1"	"LINC01415"	"AC016571.1"	"PHYHD1"	"AC022898.2"	"ADSS1"	"AC021744.1"	"TMEM72"	"LDLRAD4.AS1"	"TNFAIP6"	"SVEP1"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"	"INSYN1.AS1"
"CA9"	"C6orf223"	"LOXL2"	"LOXL2"	0.0300092606092289	"LRRTM2"	"IRX1"	"MARCO"	"MYEOV"	"FBXO2"	"AC011352.3"	"PHYHIPL"	"OXGR1"	"NKG7"	"SNAP25.AS1"	"RPS6KA6"	"AC019117.2"	"PLPP4"	"AC138951.1"	"CHL1.AS1"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"	"MME"
"SLC13A2"	"AC087045.3"	"IDO1"	"IDO1"	0.0188	"MT.TP"	"TMEM155"	"EHD2"	"ANGPT2"	"LOXL2"	"AC008957.3"	"PLPPR5"	"RFLNB"	"LINC01322"	"GABRD"	"NRARP"	"CKMT1B"	"PLPPR5"	"AC138409.1"	"VWCE"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"	"ALDOC"
"OPCML"	"GPR4"	"MYEOV"	"MYEOV"	0.018	"KCNQ1OT1"	"AL365181.2"	"INSRR"	"FBXO2"	"MYEOV"	"AC110749.1"	"AL592431.1"	"HILPDA"	"PRRX1"	"LINC01235"	"AC116345.1"	"C5orf46"	"AC253536.3"	"GAD1"	"PTP4A2P2"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"	"TSPAN8"
"SLC34A2"	"AC114803.1"	"PRRX1"	"PRRX1"	0.000874999999999959	"SNORA49"	"LINC01077"	"VCAN"	"SLC34A2"	"ANGPT2"	"SH3GL2"	"MAPK4"	"C3orf70"	"AGXT2"	"MLC1"	"AL031429.1"	"PTHLH"	"ADSS1"	"KIF6"	"KLF7.IT1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AL391845.2"
"AOC1"	"SLC5A3"	"ANGPT2"	"ANGPT2"	0	"SCARNA13"	"PCSK6"	"ADRB1"	"FABP7"	"PRRX1"	"C3orf70"	"TRBV2"	"C3orf85"	"AC022509.1"	"LRRC19"	"OXGR1"	"AL096711.2"	"EPHA3"	"UNC5B"	"AC021744.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AGXT2"
"HECW1"	"OSTM1.AS1"	"RPS6KA6"	"RPS6KA6"	0	"AC253536.3"	"DYSF"	"EPHA3"	"PRRX1"	"FABP7"	"C15orf48"	"NRARP"	"AC138951.1"	"SCD5"	"KLHDC8A"	"CLCNKB"	"AC092535.5"	"SOX11"	"PLA2G2D"	"INSRR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DTX1"
"SLC4A1"	"GPR182"	"FABP7"	"FABP7"	0	"RNU6.35P"	"PLVAP"	"CP"	"HSPB7"	"RPS6KA6"	"ADGRF1"	"C6orf223"	"IQCA1"	"KLHDC8A"	"AC087045.3"	"SYT12"	"DAO"	"LINC02048"	"SLC5A12"	"PNMA2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PHYHIPL"
"MEOX1"	"TMEM155"	"ADRB1"	"ADRB1"	0	"RNU5A.1"	"C5orf46"	"ANO2"	"EGLN3"	"EGLN3"	"TMEM252"	"SLC5A12"	"AC253536.3"	"CXCL5"	"SCARNA21"	"C6orf223"	"ASPHD1"	"H4C8"	"KBTBD12"	"AC008760.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SLC15A1"
"SCN4A"	"SERPINE2"	"HSPB7"	"HSPB7"	0	"TMSB4XP8"	"APLN"	"PTPRN"	"APLN"	"HSPB7"	"MT.TP"	"HILPDA"	"MLC1"	"PTHLH"	"AC022898.2"	"RFLNB"	"IL2RB"	"TRBV2"	"AC015910.1"	"AC022509.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GJB1"
"SYT7"	"ANO2"	"EGLN3"	"EGLN3"	0	"AC011389.1"	"GPR4"	"RIMBP2"	"FASLG"	"ADRB1"	"ANO2"	"RNU5A.1"	"ADAM18"	"AC073115.1"	"TNFAIP6"	"SNAP25"	"ADGRF1"	"OPCML"	"SVEP1"	"SLC9A4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DAO"
"MARCO"	"RHBG"	"PTHLH"	"PTHLH"	0	"LDLRAD4.AS1"	"AC114803.1"	"ARSF"	"SLC6A3"	"SLC6A3"	"SERPINE1"	"MARCO"	"CKMT1B"	"SEZ6L2"	"KCNQ1OT1"	"SYT14"	"GPX3"	"PRDM16.DT"	"P2RY10"	"LINC01235"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CLNK"
"EHD2"	"C5orf46"	"SCGN"	"SCGN"	0	"DNASE1"	"AC010655.2"	"NGFR"	"HILPDA"	"PTHLH"	"MME"	"UGT3A1"	"P2RY10"	"RPS6KA6"	"TMEM213"	"EPHA3"	"SCARNA21"	"LINC02384"	"KLF7.IT1"	"GPX3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LRRC19"
"INSRR"	"HSD11B2"	"FASLG"	"FASLG"	0	"EGLN3"	"HSD11B2"	"RPS6KA6"	"NPTX2"	"HILPDA"	"LINC01929"	"RNY1"	"LRRC19"	"TRAV12.2"	"ACAN"	"AC022509.1"	"TRPM8"	"TRAV9.2"	"OLIG1"	"SCN4B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"OXGR1"
"VCAN"	"APLN"	"SLC6A3"	"SLC6A3"	0	"KCNJ13"	"ARMH4"	"P2RY10"	"RPS6KA6"	"APLN"	"SLC34A2"	"NEFM"	"AC093904.4"	"MME"	"AC040174.1"	"SCARNA21"	"SLC4A1"	"SLC5A12"	"NFASC"	"TRAV13.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LDLRAD4.AS1"
"ADRB1"	"AC068299.2"	"SERPINE1"	"SERPINE1"	0	"SLC4A1"	"EGLN3"	"SCGN"	"KISS1R"	"FASLG"	"C3orf85"	"PNMA2"	"AC007342.5"	"SCG5"	"GSN.AS1"	"IQCA1"	"KBTBD12"	"APOLD1"	"CSPG4"	"SEMA5B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PAPPA"
"CP"	"AL391845.2"	"KISS1R"	"KISS1R"	0	"RNU1.14P"	"ANGPT2"	"SEMA5B"	"PTHLH"	"KISS1R"	"MEOX1"	"TRAV9.2"	"AOC1"	"SERPINE1"	"KBTBD12"	"GPR182"	"MUC12"	"CYS1"	"SFTA1P"	"PTHLH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC008957.3"
