"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"EPHA3.EPHA3"	"CDCA2"	"EPHA3"	"EPHA3"	0.760684770600251	"RPL39P3"	"CDCA2"	"SLC4A1"	"CA9"	"CA9"	"RNU5A.1"	"CDH8"	"C3orf70"	"TRBV10.3"	"IQCA1"	"ANO2"	"SLC5A12"	"AC022898.2"	"AC138089.1"	"SCN4B"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"	"SLC6A20"
"IDO1"	"SLC5A3"	"CA9"	"CA9"	0.756618909008052	"GSN.AS1"	"GABRD"	"INSRR"	"PCSK6"	"EPHA3"	"TRBV2"	"LHFPL3.AS2"	"DIRAS2"	"LINC01614"	"DLX5"	"AF186192.2"	"ANO2"	"SLC5A12"	"KCNH6"	"AC136601.1"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"	"AL365181.2"
"MYEOV"	"ANO2"	"PCSK6"	"PCSK6"	0.711805555555556	"H2BC4"	"OSTM1.AS1"	"MYOC"	"EPHA3"	"PCSK6"	"IDO1"	"ACAN"	"AC022898.2"	"DLX5"	"NRARP"	"APLN"	"PPDPFL"	"FCAMR"	"SERPINE2"	"KCNH6"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"	"SLC30A2"
"LOXL2"	"IRX1"	"LOXL2"	"LOXL2"	0.569758453636912	"KCNQ1OT1"	"CA9"	"ADRB1"	"IDO1"	"IDO1"	"PLA2G4F"	"AL391845.2"	"TRBV2"	"DTX1"	"LINC00887"	"CHSY3"	"KIF6"	"DLX5"	"FAM83F"	"IQCA1"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"	"LINC01428"
"ENTPD3"	"AL365181.2"	"IDO1"	"IDO1"	0.5	"LRRTM2"	"CLDN16"	"EPHA3"	"LOXL2"	"LOXL2"	"FAM163A"	"TRBV3.1"	"CCBE1"	"ANO2"	"TRBV28"	"MIR210"	"AC084759.3"	"FUT6"	"GPR182"	"CRNDE"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"	"SH3GL2"
"ANGPT2"	"GABRD"	"MYEOV"	"MYEOV"	0.298101361111111	"SNORA33"	"IRX1"	"CP"	"MYEOV"	"MYEOV"	"AC007342.4"	"LCN2"	"LINC02555"	"MAPK4"	"C15orf48"	"RNU1.14P"	"AC016571.1"	"RNU6.35P"	"DRC7"	"CCDC196"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"	"ADGRF1"
"NPTX2"	"CLDN16"	"PRRX1"	"PRRX1"	0.0334	"AP005131.1"	"AL391845.2"	"ANO2"	"ENTPD3"	"ENTPD3"	"SCN2A"	"PRRX1"	"LINC01358"	"TRAV13.1"	"OXGR1"	"OLFML2A"	"AC092325.1"	"KIF1A"	"LINC02747"	"GJB1"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"	"AL365181.3"
"CA9"	"CARMN"	"ENTPD3"	"ENTPD3"	0.0300092606092289	"TMSB4XP8"	"C5orf46"	"PTPRN"	"ANGPT2"	"ANGPT2"	"AL365181.2"	"SFTA1P"	"PI3"	"FA2H"	"LINC01929"	"CGNL1"	"SH3GL2"	"MIAT"	"FAM163A"	"KCNMA1.AS1"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"	"ADAM18"
"CLDN16"	"AC087045.3"	"ANGPT2"	"ANGPT2"	0.028	"MT.TP"	"TMEM155"	"NGFR"	"FABP7"	"PRRX1"	"CLDN16"	"ALDH8A1"	"CCDC141"	"AC092535.5"	"ADGRF1"	"PLA2G2D"	"SERPINE2"	"UPB1"	"MIR3609"	"MIR3609"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"	"GAD1"
"SLC4A1"	"OSTM1.AS1"	"IFNG"	"IFNG"	0	"MIR3609"	"LINC00887"	"SCGN"	"IFNG"	"FABP7"	"AC107021.1"	"NRARP"	"CTHRC1"	"AC103563.2"	"CDCA2"	"SH3GL2"	"ASPHD1"	"SCD5"	"H2BC4"	"SERPINE2"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"	"FA2H"
