"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"CDKN2A.CDKN2A"	"CDKN2A"	"NMU"	"NMU"	0.984	"PTTG1"	"CDKN2A"	"AOC1"	"OMD"	"OMD"	"AP000894.4"	"ADGRV1"	"AC138409.1"	"AC073325.2"	"GPRASP1"	"AC072052.1"	"NMU"	"RNU6.140P"	"AL138785.2"	"AC092139.3"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"	"AL357507.1"
"HOXB9"	"AC027449.1"	"H2BC9"	"H2BC9"	0.31945	"CDKN2A"	"MTFR2"	"HSPB6"	"CDKN2A"	"NMU"	"AC018659.1"	"HSPB2"	"RPL39P3"	"AC025449.1"	"AC074085.2"	"RN7SL2"	"DNAJC19P9"	"RMRP"	"GNG5P2"	"AL031429.2"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"	"PTTG1"
"NMU"	"CPEB1"	"HOXB9"	"HOXB9"	0.210461111111111	"GPRASP1"	"PTTG1"	"OGN"	"NMU"	"CDKN2A"	"KIF1A"	"GPRASP1"	"AL162424.1"	"AC080097.1"	"MTND2P28"	"AC025449.1"	"AL022718.1"	"CPEB1"	"DANT2"	"AC114491.1"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"	"RNA5SP141"
"PTTG1"	"PTTG1"	"OMD"	"OMD"	0.0586746666666667	"OGN"	"OMD"	"NMU"	"H2BC9"	"H2BC9"	"IGHJ2"	"SNORD17"	"COX6A1P2"	"MT.TF"	"PADI3"	"MT.TT"	"AC103702.2"	"AC092139.3"	"AC089999.1"	"AC007229.1"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"	"NECAB1"
"HSPB3"	"AOC1"	"MNX1"	"MNX1"	0.0332	"SPC25"	"SPC25"	"NME2P1"	"PTTG1"	"ADGRV1"	"SNRPEP2"	"AC005000.1"	"AC107075.1"	"ADGRV1"	"RNA5SP141"	"RNU7.48P"	"AC023157.1"	"AL031729.1"	"AC103702.2"	"ZNF460"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"	"AC009948.4"
"AOC1"	"RN7SKP80"	"ADGRV1"	"ADGRV1"	0.0284	"MTFR2"	"GPRASP1"	"NECAB1"	"ADGRV1"	"HOXB9"	"AC107075.1"	"AL391336.2"	"TYRO3P"	"CRIP1P4"	"AC114801.3"	"KC877982.1"	"AC100814.2"	"KC877982.1"	"RPS20P14"	"AL512324.1"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"	"CDKN2A"
"MT.ND6"	"GPM6A"	"CDKN2A"	"CDKN2A"	0.023461111111111	"AC027449.1"	"MT.ND6"	"ARHGAP40"	"COL26A1"	"MNX1"	"HSPB2"	"MIR3682"	"ARHGAP40"	"AC005165.2"	"MTATP6P2"	"AC046143.2"	"SELENOKP1"	"MTATP6P2"	"EIF1P3"	"AL357507.1"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"	"NMU"
"OGN"	"MTFR2"	"KIF1A"	"KIF1A"	0.0172	"NECAB1"	"OGN"	"OMD"	"KIF1A"	"KIF1A"	"MT.TV"	"GPM6A"	"ADAMTS9.AS1"	"MIR205HG"	"ATP5F1EP2"	"AC007351.3"	"OMD"	"MT.TV"	"MT.TL2"	"AL109741.2"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"	"AC092139.3"
"KIF1A"	"COL26A1"	"COL26A1"	"COL26A1"	0.0144	"H2BC9"	"AC027449.1"	"KIF1A"	"HOXB9"	"PTTG1"	"RNU7.48P"	"MT.TP"	"RPS26P3"	"MT.TP"	"MT.TY"	"MIR205HG"	"AP001024.1"	"RNA5SP283"	"SPC25"	"AL022718.1"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"	"TCEAL2"
"HSPB6"	"ADGRV1"	"PTTG1"	"PTTG1"	0	"CPEB1"	"HSPB2"	"MNX1"	"OGN"	"COL26A1"	"SNRPFP1"	"AC114491.1"	"AC012442.1"	"HSPB3"	"MIR570"	"MIR4457"	"CDKN2A"	"AC007229.1"	"RNA5SP215"	"AC046174.1"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"	"OGN"
