"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"daLFC"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"WT1.WT1"	"LTBP4"	"PTGER3"	"PTGER3"	1	"LTBP4"	"LTBP4"	"HSPB6"	"TOP2A"	"KNL1"	"BCHE"	"H2BC17"	"AC027449.1"	"MTATP8P1"	"MIR487B"	"PRLHR"	"SNORD114.23"	"RNU5B.2P"	"APOD"	"H2AC13"	"KCNMB2.AS1"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"HSPB6"	"H2BC17"	"HLF"	"HLF"	0	"ASPM"	"KLF2"	"FHL1"	"KNL1"	"TOP2A"	"SCN2B"	"AC100793.4"	"H2BC8"	"KNL1"	"SLC22A3"	"AQP5"	"MIR300"	"WSCD2"	"AC009299.2"	"AL158211.1"	"ASPM"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"FHL1"	"PRAME"	"SIX1"	"SIX1"	0	"KNL1"	"NDN"	"DEPDC1"	"HLF"	"HLF"	"SNORD114.9"	"CLEC3B"	"DLGAP5"	"TEX15"	"MYL9"	"AC012442.1"	"MT.TL1"	"ECRG4"	"H3C8"	"UPK1B"	"MCM10"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"DEPDC1"	"CAMK2A"	"TOP2A"	"TOP2A"	0	"CENPF"	"DEPDC1"	"PTGER3"	"WT1"	"WT1"	"RSPO1"	"SLC2A4"	"TNNT3"	"MELK"	"RDH10.AS1"	"ADRA1D"	"SLITRK3"	"JPH2"	"FRMD6.AS2"	"PI16"	"MYH11"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"PTGER3"	"CENPF"	"KNL1"	"KNL1"	0	"IQGAP3"	"ASPM"	"CHRDL2"	"RSPO1"	"TNFAIP8L3"	"H3C7"	"PRAME"	"VWC2"	"RPS28P7"	"WT1.AS"	"TMPRSS4"	"TROAP"	"LINC00605"	"VWC2"	"CENPF"	"TFAP2A"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"CHRDL2"	"RPL41P1"	"WT1"	"WT1"	0	"NDN"	"CENPF"	"CCN5"	"ATP1B2"	"RSPO1"	"MIR1.1HG.AS1"	"ELF5"	"RERGL"	"TMPRSS4"	"CCN5"	"AC108673.3"	"DIAPH3"	"F10"	"ASPA"	"GAS1RR"	"CRHR1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"CCN5"	"ADRA1D"	"RSPO1"	"RSPO1"	0	"H3C10"	"KIF14"	"MCM10"	"SLC2A4"	"ATP1B2"	"ADRB3"	"TBCAP1"	"DIO3"	"TNFAIP8L3"	"AL162151.2"	"MIR377"	"MIR377"	"KCNB1"	"MIR1185.2"	"FGF10"	"HJURP"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"MCM10"	"KNDC1"	"MYH11"	"MYH11"	0	"MKI67"	"TOP2A"	"ASPM"	"TNFAIP8L3"	"SLC2A4"	"PRAME"	"MUC5AC"	"MTATP8P1"	"H2BC9"	"CDCA2"	"GAS1"	"AC099336.2"	"H2BC9"	"RSPO1"	"AC002398.2"	"OGN"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"ASPM"	"GPM6A"	"TNFAIP8L3"	"TNFAIP8L3"	0	"TOP2A"	"KNL1"	"PITX1"	"MYH11"	"MYH11"	"MT.TY"	"FAM153B"	"FAM153B"	"RNU6.8"	"MTATP8P2"	"NCAM1"	"TMEM132C"	"MT.TY"	"RPRM"	"MMP12"	"LTBP4"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"PITX1"	"LINC01016"	"SLC2A4"	"SLC2A4"	0	"FXYD1"	"MKI67"	"FGF10"	"MNX1"	"SIX1"	"H3C12"	"RPL10P15"	"ASPM"	"AL158211.1"	"AC016596.3"	"KCNB1"	"AC136628.3"	"GPM6A"	"HAPLN1"	"AC147067.2"	"CENPF"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
"FGF10"	"MELK"	"ATP1B2"	"ATP1B2"	0	"ADRA1D"	"MELK"	"CAMK2A"	"ADGRV1"	"ADGRV1"	"WT1"	"SIX1"	"MELK"	"DIAPH3"	"CAMK2A"	"H2AC11"	"H2BC4"	"ADGRV1"	"GSTM5"	"TRH"	"CDO1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CAMK2A"	"KCNMB2.AS1"	"EHF"	"EHF"	0	"RPRM"	"IQGAP3"	"WSCD2"	"SIX1"	"MNX1"	"RIC3"	"MRGPRF"	"ASPA"	"SIX1"	"MYH11"	"SNORD114.29"	"PDLIM3"	"MIR377"	"GPIHBP1"	"MIR4768"	"NCAPG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"WSCD2"	"TMEM132C"	"MNX1"	"MNX1"	0	"KIF14"	"H3C10"	"BIRC5"	"PTGER3"	"PTGER3"	"HSPB2"	"TCEAL2"	"KIF14"	"MYH11"	"CAVIN2"	"HSPB1P1"	"PGM5"	"MIR370"	"RNU5B.2P"	"AC005180.2"	"RSPO1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BIRC5"	"CCL21"	"ADGRV1"	"ADGRV1"	0	"KLF2"	"RERG"	"LTBP4"	"EHF"	"KIF14"	"AC002398.2"	"CD300LG"	"PTGFR"	"LINC01018"	"MT.TL1"	"GPIHBP1"	"AC025154.2"	"SNORD114.29"	"MIR221"	"MIR34C"	"KNL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LTBP4"	"KLF2"	"RRM2"	"RRM2"	0	"HSPB2"	"CAVIN2"	"JPH4"	"RRM2"	"RRM2"	"ALPG"	"PTGFR"	"AC016596.3"	"CASQ2"	"AC016877.3"	"H2BC17"	"MELK"	"ADRA1D"	"TEX15"	"ELF5"	"RIC3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"JPH4"	"MKI67"	"MUC5AC"	"MUC5AC"	0	"DEPDC1"	"MCM10"	"MYBL2"	"MELK"	"MELK"	"TMPRSS4"	"DIRAS1"	"TCEAL2"	"GAS1"	"OGN"	"KNL1"	"MYL9"	"CDC20"	"SERTM1"	"AQP5"	"SLITRK3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
