"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"RSPO3.RSPO3"	"TPX2"	"CCNE1"	"CCNE1"	1	"FXYD1"	"TPX2"	"AOC1"	"TPX2"	"CCNE1"	"FAM162B"	"CCNE1"	"AC108472.1"	"KCNG1"	"FAM162B"	"EPHA3"	"HRCT1"	"AC092666.1"	"SNCG"	"LINGO2"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"AC012653.2"
"ALK"	"MAGEH1"	"RSPO3"	"RSPO3"	1	"OGN"	"CDKN2A"	"HSPB6"	"MYBL2"	"TPX2"	"PCBP3"	"AC108134.1"	"ELF5"	"OR2B6"	"TSPAN18"	"ARHGAP40"	"CEBPA.DT"	"CRABP1"	"FMO2"	"OR2B6"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"	"H2BC17"
"CDKN2A"	"FAM13C"	"TUBA3E"	"TUBA3E"	0.984	"WT1"	"OMD"	"PRKAR2B"	"CCNE1"	"OMD"	"IGFBP6"	"Z82217.1"	"SLC2A4"	"FXYD6"	"SMIM10L2B"	"MAGEH1"	"AOC1"	"VAX2"	"GLDC"	"H2BC17"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"	"AC016877.3"
"HMGA2"	"OMD"	"ALK"	"ALK"	0.9618	"SMIM10L2B"	"MTFR2"	"KCNG1"	"OMD"	"RMI2"	"FAM72C"	"PLA2G2A"	"NUF2"	"DLX3"	"AC012076.1"	"MPV17L"	"H3C8"	"NECAB1"	"RPS6KA6"	"AL117190.1"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"PGAP4"
"WT1"	"CDKN2A"	"RMI2"	"RMI2"	0.955807291666667	"CDKN2A"	"CCNE1"	"DEPDC1B"	"SLC2A4"	"NMU"	"AL117190.1"	"EHF"	"HGD"	"TPX2"	"NCMAP"	"ABCA9"	"PCBP3"	"TSPAN18"	"LINC01833"	"FXYD6"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"	"H2AC17"
"CCNE1"	"PALM"	"FOLR1"	"FOLR1"	0.792396219806524	"MYBL2"	"MYBL2"	"EPHA3"	"NMU"	"MYBL2"	"ACOXL"	"NCMAP"	"TSPAN18"	"MIR3648.1"	"TMEM132C"	"AL354766.2"	"HCG4"	"SNAP25"	"LAMA4.AS1"	"SLC2A4"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"	"DLX3"
"EPHA3"	"FXYD1"	"NEURL1"	"NEURL1"	0.674252777777778	"TPX2"	"MAL2"	"KCNH2"	"RMI2"	"SLC2A4"	"CHRDL1"	"AL354766.2"	"CDKN2A"	"CEACAM5"	"GPR158"	"ATP1B2"	"GLDC"	"AL354766.2"	"NDC80"	"KCNG1"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"	"CST6"
"HOXB9"	"IGSF23"	"NMU"	"NMU"	0.547628571428571	"EPHB6"	"FXYD1"	"DLX3"	"CDKN2A"	"CDKN2A"	"NMU"	"CEBPA.DT"	"MIR497HG"	"ASPN"	"AC004486.1"	"H2BC9"	"MAL2"	"CARMN"	"PLCXD3"	"AL162424.1"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"	"H3C10"
"FOLR1"	"AC068987.3"	"EPHA3"	"EPHA3"	0.301598433956916	"MAGEH1"	"OGN"	"RPS6KA6"	"IGFBP6"	"IGFBP6"	"AL354766.2"	"SCRG1"	"AC012085.2"	"SNCA"	"MIR205HG"	"LINC02724"	"FMO2"	"FAM13C"	"H2BC9"	"PLA2G2A"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"	"GALNT17"
"TUBA3E"	"DEPDC1B"	"H2BC9"	"H2BC9"	0.284722222222222	"FAM13C"	"SPC25"	"SPEG"	"ATP1B2"	"ATP1B2"	"SNCG"	"KCNS1"	"ALPG"	"AL391421.1"	"TMC5"	"LINC01508"	"MAGEL2"	"INA"	"TPX2"	"SCEL"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"	"TYRO3P"
