"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"WT1.WT1"	"ASPM"	"PTGER3"	"PTGER3"	1	"RPRM"	"KLF2"	"HSPB6"	"POLQ"	"PGM5P4"	"PRLHR"	"MAMDC2"	"MNX1"	"PAGE4"	"MAMDC2"	"PI16"	"CAPN13"	"LINC02310"	"NECAB1"	"KNL1"	"TMEM132C"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"
"HSPB6"	"DIRAS1"	"POLQ"	"POLQ"	0	"KLF2"	"POLQ"	"E2F2"	"KNL1"	"TTC6"	"KLHL4"	"GAD1"	"H2AC13"	"FRMD6.AS2"	"SCN2B"	"RERG"	"SHISAL1"	"DEFB124"	"KLF17"	"POLQ"	"OGN"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"
"E2F2"	"KCNA1"	"ZBTB16"	"ZBTB16"	0	"CRHR1"	"ASPM"	"ANLN"	"BUB1B"	"KLHL4"	"CXCL5"	"KIF14"	"LCN10"	"AL158211.1"	"CRYBG2"	"AC136628.3"	"AC055874.1"	"MIR221"	"ALPG"	"TOP2A"	"LINC01016"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"
"ANLN"	"PLK5"	"SIX1"	"SIX1"	0	"GSTM5"	"CENPF"	"FHL1"	"TOP2A"	"RERG"	"AC136628.3"	"WSCD2"	"HAND2.AS1"	"PRLHR"	"LIN28B"	"GFRA1"	"SIX1"	"PADI3"	"PDLIM3"	"BUB1B"	"TFAP2A"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"
"FHL1"	"CRHR1"	"FOXA1"	"FOXA1"	0	"CENPF"	"ESPL1"	"DEPDC1"	"WT1"	"KIF18B"	"SLC8A2"	"PRLHR"	"LINC00858"	"PRELP"	"RERGL"	"WT1.AS"	"MMP28"	"HAPLN2"	"OGN"	"WT1"	"KCNB1"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"
"DEPDC1"	"TMPRSS4"	"TOP2A"	"TOP2A"	0	"CLSPN"	"KNL1"	"PTGER3"	"RSPO1"	"GAS1"	"AC090015.1"	"CASQ2"	"CLEC3B"	"SAA2"	"H2BC17"	"RPRM"	"TNNT3"	"MKI67"	"APOD"	"RSPO1"	"ELF5"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"
"PTGER3"	"ANGPT4"	"SCN7A"	"SCN7A"	0	"ESPL1"	"ESCO2"	"POLQ"	"RSPO3"	"GNGT1"	"POLQ"	"LINC02163"	"TNXB"	"AC136628.3"	"PLK5"	"BUB1"	"TPX2"	"PAGE4"	"RSPO3"	"TNFAIP8L3"	"TFAP2A.AS1"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"
"POLQ"	"AL035425.4"	"KNL1"	"KNL1"	0	"KNL1"	"UHRF1"	"CHRDL2"	"SIX1"	"E2F2"	"TCEAL7"	"CEP55"	"MYL9"	"ELF5"	"RRM2"	"CHRDL2"	"HSPB3"	"AC027807.2"	"ZBTB16"	"MYH11"	"WT1"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"
"CHRDL2"	"KNDC1"	"RSPO3"	"RSPO3"	0	"CAMK2A"	"RPRM"	"MCM10"	"SFRP4"	"MAMDC2"	"DES"	"PI16"	"FOXA1"	"WT1"	"CXCL8"	"SCN7A"	"PTGFR"	"LGI4"	"KNDC1"	"RSPO3"	"LGI3"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"
"MCM10"	"ESCO2"	"BUB1B"	"BUB1B"	0	"FXYD1"	"ASPA"	"ASPM"	"TNFAIP8L3"	"NCAM1"	"LINC01016"	"H2BC17"	"TMEM132C"	"ANLN"	"PRELP"	"ADRB3"	"RPL21P28"	"PDLIM3"	"GFRA1"	"ZBTB16"	"ASPA"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"
