"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"PDGFRA.PDGFRA"	"TTK"	"CCNE1"	"CCNE1"	1	"CPEB1"	"TPX2"	"AOC1"	"TPX2"	"CCNE1"	"ZNF750"	"GPM6A"	"H2BC11"	"LINC00605"	"UPK1B"	"AJ011932.1"	"TTK"	"MIR23A"	"MOGAT1"	"MYH11"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"	"MNX1.AS1"
"RSPO3"	"IQSEC3"	"ZBTB16"	"ZBTB16"	1	"PALM"	"CDKN2A"	"HSPB6"	"CCNE1"	"TPX2"	"MTFR2"	"MYBL2"	"DEPDC1B"	"AL354766.2"	"H4C8"	"SLC47A1P2"	"GPR158"	"MYH11"	"PRSS2"	"MYBL2"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"	"MNX1"
"CDKN2A"	"CDKN2A"	"PDGFRA"	"PDGFRA"	0.984	"IQSEC3"	"CCNE1"	"KCNG1"	"MYBL2"	"FGF7"	"CPED1"	"AC110491.1"	"FOLR1"	"TCEAL2"	"AL139351.1"	"AL162424.1"	"PLN"	"ROBO2"	"RASAL1"	"MYOCD"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"	"KIAA1324"
"ALK"	"PALM"	"SSTR1"	"SSTR1"	0.981481481481482	"CCNE1"	"TTK"	"DEPDC1B"	"FGF7"	"OMD"	"GLI1"	"KIF1A"	"MAGEH1"	"AC068987.3"	"H2BC11"	"AC119396.1"	"AL589743.1"	"IGF2BP3"	"NEURL1"	"ANKRD34B"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"	"ZNF334"
"HMGA2"	"OMD"	"FGF7"	"FGF7"	0.9618	"CDKN2A"	"UBE2C"	"KCNH2"	"UBE2C"	"MYBL2"	"HOXB9"	"THBS1"	"H2AC13"	"SNCA"	"KRT7"	"RDM1"	"MAGEL2"	"KCP"	"RNF183"	"KLC3"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"	"TMEM132C"
"CCNE1"	"FAM13C"	"RSPO3"	"RSPO3"	0.792396219806524	"TTK"	"MYBL2"	"DLX3"	"OMD"	"MYH11"	"FGF14.AS2"	"H2BU1"	"PGAP4"	"IGSF23"	"NXPH4"	"PPP1R14C"	"OGN"	"GPRASP1"	"C1QL4"	"AC002398.2"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"	"MAGEH1"
"GLI1"	"CPEB1"	"TUBA3E"	"TUBA3E"	0.673102777777778	"MTFR2"	"CENPA"	"RPS6KA6"	"MYH11"	"NMU"	"DLK1"	"CDKN2A"	"VAX2"	"RASSF6"	"AC119396.1"	"SNCG"	"H2BC17"	"AC020929.1"	"GPRASP1"	"CDKN2A"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"	"IGF2BP3"
"THBS1"	"GPR158"	"ALK"	"ALK"	0.66435	"UBE2C"	"IQSEC3"	"LAMP3"	"NMU"	"ITPR1"	"PADI3"	"WNT7B"	"PRSS2"	"NUF2"	"CELF2.AS1"	"PDGFRA"	"LRCH2"	"AC016877.3"	"MIR205HG"	"HRCT1"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"	"PGAP4"
"HOXB9"	"H2BC4"	"FOLR1"	"FOLR1"	0.5590375	"OGN"	"OMD"	"NDC80"	"CDKN2A"	"H2BC9"	"H2BC11"	"NACAD"	"ZNF750"	"EHF"	"GNG8"	"MIR4768"	"AJ011932.1"	"ACOXL"	"NUF2"	"AC012653.2"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"	"LINC01833"
"MYH11"	"CCNE1"	"ITPR1"	"ITPR1"	0.546553497942387	"MYBL2"	"MTFR2"	"AQP6"	"ZBTB16"	"CDKN2A"	"DLX4"	"AL589743.1"	"SLC47A1P1"	"OGN"	"AL357507.1"	"CPEB1"	"AC061975.6"	"H3C7"	"ZYG11A"	"IQSEC3"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"	"OGN"
