"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"RSPO3.RSPO3"	"TPX2"	"CCNE1"	"CCNE1"	1	"TTK"	"TPX2"	"AOC1"	"TPX2"	"CCNE1"	"MNX1"	"ADGRV1"	"AUNIP"	"RDM1"	"LRFN5"	"CENPA"	"ITPR1"	"IGHD3.10"	"AC087477.2"	"AC087741.2"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"	"MNX1"
"CDKN2A"	"CPEB1"	"ZBTB16"	"ZBTB16"	0.984	"CPEB1"	"TTK"	"HSPB6"	"CDCA8"	"TPX2"	"AP000894.4"	"AC107075.1"	"AC133134.1"	"LAMA4.AS1"	"MIR4457"	"AOC1"	"LRFN5"	"AC005000.1"	"GLDC"	"DMBX1"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"	"LIN28B"
"HMGA2"	"CDKN2A"	"RSPO3"	"RSPO3"	0.9618	"TPX2"	"CDKN2A"	"DEPDC1B"	"CCNE1"	"CDCA8"	"AC139795.3"	"AC016700.2"	"RNA5SP149"	"RASSF6"	"AC008753.1"	"ADH1B"	"LRFN1"	"AC068987.3"	"AL354950.1"	"DMRT1"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"	"RNU2.23P"
"CCNE1"	"AC015911.1"	"FGF18"	"FGF18"	0.792396219806524	"OGN"	"UBE2C"	"OTC"	"MYBL2"	"RMI2"	"AC091817.1"	"AC009220.1"	"ACTL8"	"ADRA1B"	"CENPA"	"RNA5SP149"	"AC007878.1"	"RNU7.48P"	"ACTA2.AS1"	"MT.TV"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"	"AL117329.1"
"GLI1"	"IGF2BP3"	"RMI2"	"RMI2"	0.673102777777778	"CENPA"	"CCNE1"	"DLX3"	"MYH11"	"NMU"	"AP001442.1"	"AL139351.1"	"SRPX"	"MIR4478"	"RNA5SP145"	"MIR4477B"	"AC110285.2"	"AC139795.3"	"B3GNT3"	"KIF1A"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"	"MTFR2"
"THBS1"	"AC025154.2"	"FOLR1"	"FOLR1"	0.654507777777778	"MTFR2"	"NUF2"	"RPS6KA6"	"UBE2C"	"MYBL2"	"AUNIP"	"IGF2BP3"	"LINC02428"	"AL031777.1"	"GPR158"	"KIF26B.AS1"	"DMRT1"	"AL009174.1"	"PRSS1"	"AC103740.1"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"	"RNU1.88P"
"MYH11"	"SLC47A1P1"	"ITPR1"	"ITPR1"	0.590277777777778	"CDKN2A"	"MYBL2"	"NDC80"	"OMD"	"OMD"	"AQP5"	"GREM2"	"ABCA9"	"CDKN2A"	"AC072052.1"	"MTFR2"	"AUNIP"	"GPR158"	"AC005695.1"	"MALAT1"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"	"CDCA8"
"HOXB9"	"ECM2"	"CDCA8"	"CDCA8"	0.547628571428571	"NECAB1"	"MTFR2"	"TPX2"	"NMU"	"ITPR1"	"ACTA2.AS1"	"FMO2"	"ADH1B"	"SCEL"	"WDR17"	"ITPR1"	"AF127577.6"	"B3GNT3"	"RNA5SP283"	"ACTA2.AS1"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"	"WDR17"
"CDCA8"	"ELF5"	"NMU"	"NMU"	0.390625	"AUNIP"	"CENPA"	"FMO2"	"RMI2"	"MYH11"	"COL26A1"	"AC087477.2"	"NUF2"	"MT1H"	"AC099850.4"	"FAM72C"	"IGHD2.15"	"KIF1A"	"AC025154.2"	"LINGO2"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"	"MYH11"
"FOLR1"	"CCNE1"	"MYH11"	"MYH11"	0.301598433956916	"CARMN"	"DEPDC1B"	"SMIM24"	"ZBTB16"	"ZBTB16"	"FGF18"	"LINGO2"	"GPM6A"	"THBS1"	"AC119396.1"	"ACOXL"	"NECAB1"	"IGHD7.27"	"SUMO2P1"	"AC138409.1"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"	"IGF2BP3"
