"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"EPHB3.EPHB3"	"GABRB2"	"MET"	"MET"	0.211794131987543	"GABRB2"	"GABRB2"	"HOXA11"	"MET"	"MET"	"AMIGO2"	"MMP11"	"ADGRV1"	"TMPRSS4"	"SPTBN2"	"AC063926.1"	"ASPHD1"	"SCARA5"	"LINC02454"	"XKRX"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"RAG2"
"SLC26A4"	"HOXA11"	"LRP1B"	"LRP1B"	0.192970238569184	"GRHL3"	"KCNQ3"	"TNFRSF12A"	"GABRB2"	"PDGFRA"	"AC080038.4"	"C10orf55"	"MPPED2"	"C14orf180"	"AC007406.3"	"SORBS2"	"LRRC15"	"TFCP2L1"	"DPP4.DT"	"TMPRSS4"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"	"ITGA2"
"LIPH"	"IBSP"	"RUNX1"	"PDGFRA"	0.107501493876497	"CCL21"	"SHROOM4"	"ALDH3B1"	"DPP4"	"LRP1B"	"SYT9"	"RNU4ATAC"	"ASXL3"	"CLDN1"	"DCN"	"LRP1B"	"PTGDS"	"MET"	"GABBR2"	"PLEKHN1"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"	"CST5"
"EPHA10"	"SLC26A7"	"PDGFRA"	"RUNX1"	0.0904341655582973	"MMP11"	"ITGA2"	"BAIAP3"	"PDGFRA"	"RUNX1"	"WSCD2"	"TIAM1"	"TFF3"	"NOL4"	"TNFRSF12A"	"C1R"	"TCIM"	"HTR1D"	"SYT12"	"MRO"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"FAXC"
"TFF3"	"CHRM3"	"EPHB3"	"SLC26A4"	0.0735578985805658	"DPT"	"GRHL3"	"SYN1"	"TFF3"	"SLC26A4"	"AL035425.2"	"CLDN9"	"PDGFRA"	"C7"	"LEMD1"	"PROS1"	"C10orf55"	"CLPSL2"	"ARMC3"	"IPCEF1"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"	"MYOC"
"CDH3"	"GABBR2"	"EPHA10"	"EPHB3"	0.0503792006789945	"ACTBL2"	"CDH6"	"MRC2"	"HMGA2"	"GABRB2"	"MIOX"	"TNFRSF12A"	"LINC01672"	"SCEL"	"COL23A1"	"CD164L2"	"PHACTR3"	"FBLN1"	"MET"	"MIOX"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"	"PPY"
"GJB3"	"CDH6"	"SLC26A4"	"EPHA10"	0.0447159095762485	"CHRDL1"	"CSF2"	"DCN"	"MLNR"	"EPHA10"	"AJ011932.1"	"AC027601.5"	"STRA6"	"SLC26A7"	"CLDN9"	"CCL21"	"RNU11"	"ADAMTS14"	"KRT89P"	"AL157714.1"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"	"ZCCHC12"
"ZCCHC12"	"DPT"	"GABRB2"	"DPP4"	0.0447817962700877	"DCN"	"PLEKHN1"	"MAMLD1"	"LIPH"	"DPP4"	"DCLK3"	"MET"	"IPCEF1"	"DMD"	"FUT3"	"AL157714.1"	"SLC5A7"	"MLNR"	"AC002401.4"	"PWWP3B"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"	"MFAP4"
"QPCT"	"SHROOM4"	"LIPH"	"MLNR"	0.0413970111743746	"CDH6"	"PROS1"	"FHL1"	"DPT"	"MLNR"	"CDH6"	"HNRNPA1P27"	"CDH3"	"UNC5B.AS1"	"AC244502.3"	"DMBX1"	"MFAP5"	"APOD"	"LNCNEF"	"RGS8"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"	"SHROOM4"
"TMPRSS4"	"GRHL3"	"SLC22A31"	"GABRB2"	0.0355732960181609	"UNC5B.AS1"	"MET"	"IBSP"	"RUNX1"	"EPHB3"	"AC244502.3"	"MUC21"	"RETN"	"AC026116.1"	"METTL7B"	"LINC02082"	"SLC26A4"	"RASGRF1"	"CCL21"	"TCIM"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"	"CCL21"
