"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ZNF536.ZNF536"	"RELN"	"SLC26A4"	"SLC26A4"	9.62010423091463e-05	"AL391845.2"	"GABRB2"	"PROM1"	"GPC3"	"SLC26A7"	"HMGA2"	"GOLT1A"	"MMRN1"	"SNORD3A"	"AL391845.2"	"CSF2"	"SLC26A4"	"PLA2G12B"	"MLNR"	"GPC3"	"PLA2G12B"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"
"EPHA5"	"SLC22A31"	"SLC5A5"	"EPHA5"	1	"RELN"	"GRHL3"	"TENM1"	"EPHA5"	"CST2"	"KLK7"	"DIO1"	"LRRN4CL"	"SYT12"	"SLC6A20"	"AC141930.1"	"AP006333.1"	"PCSK1N"	"CLDN1"	"HMGA2"	"RYR2"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"
"LRP1B"	"OIT3"	"TPO"	"SLC34A2"	1	"GABRB2"	"LINC01977"	"DCN"	"LRP1B"	"LINC02454"	"MPPED2"	"GRM4"	"LINC01977"	"AC018816.1"	"IL36RN"	"TFF3"	"HNRNPA1P27"	"PSG1"	"HCN4"	"EPHA5"	"ZCCHC12"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"
"DIO1"	"HAPLN1"	"EPHA5"	"TPO"	0.974747474747475	"IGSF10"	"COL13A1"	"MYOC"	"IGSF1"	"SFTPA1"	"CLDN10"	"ZCCHC12"	"SLIT1"	"PSG1"	"KCNN4"	"AL031710.1"	"LRP4"	"IGSF10"	"GALNTL6"	"SLC5A5"	"AC012038.2"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"
"SLC5A5"	"NOC2LP1"	"IGSF1"	"SLC5A5"	0.95125	"HAPLN1"	"LYVE1"	"C6"	"SLC26A4"	"CUX2"	"PRSS2"	"KCNQ3"	"MAPK4"	"TMEM215"	"SRCIN1"	"GABRD"	"AC026116.1"	"LINC02471"	"RNU5F.1"	"ETV4"	"AC026116.1"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"
"IGSF1"	"FGF10"	"KIT"	"DIO1"	0.91578947368421	"LINC01977"	"UNC5B.AS1"	"RASGRF1"	"SLC5A5"	"PCSK1N"	"SRCIN1"	"LRRK2"	"UTS2R"	"TFF2"	"ODAM"	"TFF2"	"CHRNA4"	"DES"	"CARTPT"	"KIT"	"MAPK4"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"
"GPC3"	"PTCHD4"	"SLC34A2"	"IGSF1"	0.88757960811808	"GRHL3"	"AL391845.2"	"CDH3"	"KIT"	"SRCIN1"	"PPP1R1B"	"AC141930.1"	"RNU11"	"IGFL2"	"STRA6"	"SELENOV"	"UPK3A"	"HMGA2"	"CHI3L1"	"METTL7B"	"STK32A.AS1"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"
"IRS4"	"AL391845.2"	"LRP1B"	"LRP1B"	0.861717372134039	"COL13A1"	"ATP2C2"	"ATP2C2"	"TPO"	"MAPK4"	"GALNTL6"	"AC098476.1"	"SCEL"	"LINC01975"	"LRP4"	"AL355312.4"	"MT1H"	"AC007255.1"	"SLC6A20"	"TFF3"	"DPT"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"
"KIT"	"IGSF1"	"EPHA10"	"IRS4"	0.859649122807018	"GABRD"	"GPC3"	"NGEF"	"HMGA2"	"XKRX"	"KLK6"	"DCSTAMP"	"AC062015.1"	"CCL21"	"FAM167A.AS1"	"MYOC"	"IGFBPL1"	"SCEL"	"PDZK1IP1"	"IRS4"	"RPSAP52"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"
"HMGA2"	"SLC6A15"	"DIO1"	"KIT"	0.856477041212418	"UNC5B.AS1"	"RELN"	"MPPED2"	"IRS4"	"RNU11"	"ZNF536"	"XKRX"	"VTCN1"	"LRRC52.AS1"	"B4GALNT2"	"MT1G"	"TMPRSS6"	"SLIT1"	"DES"	"CSF2"	"KCNA1"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"
