"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"EPHB3.EPHB3"	"GABRB2"	"LRP1B"	"LRP1B"	0.211794131987543	"CDH6"	"GABRB2"	"BAIAP3"	"RUNX1"	"LRP1B"	"COL23A1"	"PKHD1L1"	"MPPED2"	"IGSF1"	"LINC01672"	"AL157714.1"	"PPP1R1B"	"CLDN9"	"AC135584.1"	"ITGA2"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"	"ARHGAP36"
"TFF3"	"SLC39A12"	"RUNX1"	"PDGFRA"	0.0719232786121088	"GABRB2"	"SHROOM4"	"SYN1"	"KIT"	"PDGFRA"	"WNT11"	"SCEL"	"TBX22"	"AC148477.3"	"NPY5R"	"SYTL5"	"HTR1E"	"AVPR1A"	"TFF1"	"TFF2"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"	"FUT3"
"LIPH"	"CDH6"	"KIT"	"RUNX1"	0.0537507469382486	"MFAP4"	"KCNQ3"	"DCN"	"GABRB2"	"RUNX1"	"IPCEF1"	"AC026116.1"	"ASXL3"	"PAX1"	"MACROD2"	"AFF2"	"MIR146B"	"IBSP"	"DGKI"	"LIPH"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"	"MPZL2"
"EPHA10"	"HBA1"	"PDGFRA"	"KIT"	0.0452170827791487	"COLEC12"	"GRHL3"	"MAMLD1"	"TFF3"	"KIT"	"AC243585.1"	"SERPIND1"	"C1R"	"IP6K3"	"RUNX1"	"DCLK3"	"ACTBL2"	"ASPG"	"AC026116.1"	"AC025419.1"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"	"LINC01539"
"PKHD1L1"	"NWD2"	"EPHB3"	"EPHB3"	0.0446347761761119	"DCN"	"MPZL2"	"IBSP"	"DPP4"	"GABRB2"	"FAM163A"	"NPY5R"	"SYTL5"	"AC244502.1"	"DPP6"	"SLC35F4"	"RASD2"	"QRFPR"	"AC254633.1"	"SH2D6"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"	"CST5"
"GJB3"	"IBSP"	"EPHA10"	"EPHA10"	0.0459935069927128	"ATP2C2"	"PLEKHN1"	"COL23A1"	"PDGFRA"	"EPHB3"	"PROS1"	"PDE4C"	"TMC6"	"AC103957.2"	"SYT9"	"KIAA1324"	"RERGL"	"KIAA1324"	"PLCD3"	"MAN1A2P1"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"	"SCEL"
"CDH3"	"GRHL3"	"GABRB2"	"DPP4"	0.046180933955745	"PDGFRA"	"CDH6"	"RASGRF1"	"MLNR"	"DPP4"	"PHACTR3"	"C1S"	"CLCNKB"	"PLEKHN1"	"PLEKHN1"	"AP000802.1"	"CSF2"	"IGHEP1"	"PSG1"	"STRA6"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"	"DPP4.DT"
"ZCCHC12"	"AC026369.2"	"LIPH"	"MLNR"	0.0425427064565833	"MPZL2"	"FAXC"	"CDH3"	"LIPH"	"TFF3"	"KIF19"	"HOXA13"	"AC011298.1"	"CPNE4"	"COL23A1"	"RYR1"	"AC025419.1"	"WNT11"	"C1orf158"	"BIRC7"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"	"ITGA2"
"QPCT"	"AC040160.2"	"LRP4"	"GABRB2"	0.0384400818047764	"APOD"	"MAMLD1"	"ATP2C2"	"HMGA2"	"MLNR"	"SRARP"	"RXRG"	"TMEM171"	"AMIGO2"	"NECTIN4"	"C1S"	"KCNQ3"	"QPCT"	"TFF2"	"DCN"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"	"CPNE4"
"CRABP1"	"APOD"	"SLC22A31"	"LIPH"	0.0325236471930416	"DCLK3"	"AL355312.4"	"NGEF"	"LRP4"	"EPHA10"	"AL157414.3"	"DGKI"	"CFAP74"	"BAIAP3"	"C1R"	"FAXC"	"TRPC5"	"CLDN16"	"CDH16"	"APOD"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"	"SRARP"
