"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"TPO.TPO"	"GABRB2"	"MET"	"MET"	0.287966671224892	"GABRB2"	"GABRB2"	"ALDH3B1"	"MET"	"MET"	"ALDH3B1"	"BMP8A"	"KCNQ3"	"AC010857.1"	"FAM163A"	"CAMK2N1"	"MMP11"	"DCLK3"	"PRIMA1"	"ASXL3"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"	"FUT3"
"EPHB3"	"LRRC15"	"LRP1B"	"LRP1B"	0.211794131987543	"MMP11"	"GRHL3"	"SYN1"	"GABRB2"	"TPO"	"SRARP"	"SYN1"	"TPTE2P1"	"CT75"	"NWD1"	"DPP4.DT"	"ADGRV1"	"SOWAHCP5"	"MPPED2"	"QRFPR"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"	"LINC01539"
"LIPH"	"FAM163A"	"RUNX1"	"PDGFRA"	0.107501493876497	"DPT"	"CDH6"	"MRC2"	"TPO"	"PDGFRA"	"WARS1P1"	"LINC01257"	"LINC00607"	"ADCY8"	"CT75"	"GJB3"	"MPPED2.AS1"	"AC063926.1"	"FOLR3"	"PCDHAC2"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"	"GRHL3"
"SLC26A4"	"CDH6"	"PDGFRA"	"RUNX1"	0.128646825712789	"CDH6"	"KCNQ3"	"DCN"	"PDGFRA"	"LRP1B"	"DCLK3"	"PSG1"	"TINCR"	"AL354798.1"	"AL355312.4"	"CATSPER1"	"FAM163A"	"PCAT14"	"ADCY8"	"RNU11"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"	"PHACTR3"
"EPHA10"	"CSMD1"	"TPO"	"TPO"	0.118694842295265	"CCL21"	"AL355312.4"	"MAMLD1"	"LIPH"	"RUNX1"	"CLDN2"	"TINCR"	"SCEL"	"CYSLTR2"	"DOK7"	"LINC01257"	"LEMD1"	"LINC01539"	"PSG1"	"NOD1"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"	"PKNOX2"
"TFF3"	"SPTBN2"	"EPHB3"	"SLC26A4"	0.0758463665364056	"GRHL3"	"ITGA2"	"FHL1"	"DPP4"	"SLC26A4"	"LINC02232"	"SLC26A7"	"AL035425.2"	"NWD1"	"LINC01672"	"TDGF1"	"KLK11"	"RAG2"	"STXBP5L"	"HES2"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"	"ACTBL2"
"CDH3"	"FAIM2"	"EPHA10"	"EPHB3"	0.0587757341254936	"TFF3"	"CSF2"	"CP"	"TFF3"	"GABRB2"	"AC254633.1"	"RXRG"	"UGT3A2"	"SLC6A20"	"QRFPR"	"PWWP3B"	"C7"	"ADAMTS14"	"DCN"	"AP000802.1"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"	"CSF2"
"QPCT"	"WDR72"	"SLC26A4"	"EPHA10"	0.0506902177645403	"MFAP4"	"UNC5B.AS1"	"RASGRF1"	"HMGA2"	"EPHB3"	"BEX1"	"C7"	"CCL21"	"CA12"	"MAMLD1"	"IGFBPL1"	"TENM3"	"KLK10"	"MT1M"	"WDR72"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"KRT15"
"SLC5A8"	"CAPN6"	"GABRB2"	"DPP4"	0.04985	"COLEC12"	"PROS1"	"CDH3"	"FN1"	"DPP4"	"NWD1"	"KCP"	"TNRC6C.AS1"	"UGT3A2"	"GABRB2"	"LCN2"	"CSMD1"	"TDRD9"	"LPAR5"	"AC011944.1"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"	"NOL4"
"GJB3"	"RASD2"	"LIPH"	"GABRB2"	0.0511038966585697	"CWH43"	"LIPH"	"NGEF"	"DPT"	"TFF3"	"SYN1"	"ZMAT4"	"HES2"	"PWWP3B"	"AL031710.1"	"UGT3A2"	"CCL21"	"CLCNKB"	"AL390726.4"	"PDE4C"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"	"PDE4C"
"LAMB3"	"MMP11"	"SLC22A31"	"LIPH"	0.0496151536391977	"UNC5B.AS1"	"SLC26A7"	"MPPED2"	"EPHB3"	"FN1"	"AC120498.1"	"MPPED2.AS1"	"SIGLEC15"	"SSTR3"	"BRSK2"	"MUC21"	"PCAT14"	"AL031710.1"	"HES2"	"SYT12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MUC21"
"RXRG"	"DPT"	"STRA6"	"TFF3"	0.0433597959349883	"DCN"	"WDR72"	"HES2"	"GJB3"	"HMGA2"	"LINC01878"	"UNC5CL"	"MYBPH"	"FOXJ1"	"MFAP5"	"HTR1E"	"NWD1"	"BRSK2"	"MET"	"FHL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"IL36RN"
"TMPRSS4"	"ITGA2"	"DPP4"	"FN1"	0.040019958020431	"APOD"	"MPPED2"	"TRPC5"	"RUNX1"	"EPHA10"	"UNC5CL"	"APOD"	"PRSS2"	"PLA2G2E"	"LINC01257"	"PRSS2"	"SYT12"	"AL035425.2"	"SLC4A4"	"FUT3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC025580.1"
