"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"EPHB3.EPHB3"	"GABRB2"	"LRP1B"	"LRP1B"	0.211794131987543	"GABRB2"	"GABRB2"	"ALDH3B1"	"RUNX1"	"LRP1B"	"RUNX1"	"HES2"	"MKRN9P"	"RPSAP52"	"AC080038.2"	"SORBS2"	"HTR1D"	"IPCEF1"	"KCNQ3"	"LIPH"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"	"SLC5A7"
"TFF3"	"ADAM23"	"RUNX1"	"PDGFRA"	0.0719232786121088	"CDH6"	"KCNQ3"	"BAIAP3"	"KIT"	"PDGFRA"	"CP"	"MUC21"	"DUSP6"	"CSF2"	"MLNR"	"FUT3"	"NWD1"	"DMD"	"RERGL"	"C1R"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"	"FUT3"
"LIPH"	"GPR142"	"KIT"	"RUNX1"	0.0537507469382486	"GABRD"	"GRHL3"	"SYN1"	"GABRB2"	"RUNX1"	"HTR1E"	"DEPTOR"	"KRT15"	"PPARGC1A"	"COX4I2"	"AVPR1A"	"GJB3"	"ADGRV1"	"PDE4C"	"TDRD9"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"	"SYT12"
"EPHA10"	"GABRD"	"PDGFRA"	"KIT"	0.0452170827791487	"MMP11"	"CDH6"	"MRC2"	"DPP4"	"KIT"	"FAM163A"	"RBM24"	"KLK15"	"HNRNPA1P27"	"RADIL"	"PGA5"	"QPCT"	"IL36RN"	"CLDN1"	"AC062015.1"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"	"TFF3"
"GJB3"	"MMP11"	"EPHB3"	"EPHB3"	0.0383279224939273	"DCN"	"GABRD"	"DCN"	"MLNR"	"GABRB2"	"CRABP1"	"SPOCD1"	"IPCEF1"	"CDH8"	"COLEC12"	"EGFEM1P"	"C1S"	"KCP"	"NOL4"	"HOXA13"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"	"GABRB2"
"CDH3"	"MACROD2"	"EPHA10"	"EPHA10"	0.0403033605431956	"TFF3"	"AL355312.4"	"MAMLD1"	"EPHB3"	"EPHB3"	"AC011270.2"	"SEMA3D"	"CATSPER1"	"PSG1"	"MFAP5"	"ADGRV1"	"PHACTR3"	"LNCNEF"	"PRDM16.DT"	"EGFEM1P"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"	"UNC5B.AS1"
"QPCT"	"AJ011932.1"	"GABRB2"	"DPP4"	0.0354831524351782	"UNC5B.AS1"	"MPPED2"	"IBSP"	"TFF3"	"DPP4"	"AC063926.1"	"C1orf158"	"RXRG"	"CRABP1"	"LINC00891"	"AC092954.1"	"TFF2"	"GOLT1A"	"WDR72"	"HMGA2"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"	"ACTBL2"
"CRABP1"	"CDH6"	"LIPH"	"MLNR"	0.0334528942556999	"COLEC12"	"CSF2"	"CP"	"HMGA2"	"MLNR"	"GJB3"	"CFAP74"	"GJB3"	"MFAP5"	"HAGLR"	"AL359853.1"	"TINCR"	"MPZL2"	"CRABP1"	"AC011270.2"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"	"FAXC"
"RXRG"	"TFF3"	"SLC22A31"	"GABRB2"	0.0336981022755615	"COX4I2"	"ITGA2"	"COL23A1"	"LIPH"	"TFF3"	"ADCY8"	"WDR72"	"KIAA1324"	"RNU4ATAC"	"ARHGAP36"	"MPPED2"	"WDR72"	"LINC01672"	"TINCR"	"FAM178B"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"	"DPP4.DT"
"RAP1GAP"	"MLNR"	"STRA6"	"LIPH"	0.0296471941247078	"CSF2"	"WDR72"	"RASGRF1"	"PDGFRA"	"EPHA10"	"NOL4"	"C10orf55"	"CDH8"	"LINC02408"	"PPP1R1B"	"TIMM8AP1"	"MPZL2"	"MIR8071.2"	"MAN1A2P1"	"TFF2"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"	"MPPED2.AS1"
"SYT12"	"PLD5"	"DPP4"	"TFF3"	0.0306010658789496	"ADAM23"	"FAXC"	"CDH3"	"GABRD"	"GABRD"	"DCLK3"	"IRS4"	"AL353746.1"	"SLC4A4"	"IGHE"	"KCNQ3"	"ADGRV1"	"UNC5B.AS1"	"MPPED2.AS1"	"IGFBPL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC254633.1"
