"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"AR.AR"	"ANGPTL6"	"AR"	"AR"	1	"CXCL14"	"ANGPTL6"	"PRSS22"	"AR"	"AR"	"FAM81A"	"ANXA3"	"LINC02428"	"TDO2"	"ACSM5"	"AL161740.1"	"AL391095.3"	"LINC01702"	"AC112206.2"	"IGF1"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"	"CXCL14"
"SLC34A2"	"BICDL2"	"SLC34A2"	"SLC34A2"	0.704395374865133	"ANGPTL6"	"OIT3"	"PON1"	"C9"	"SLC34A2"	"ITGB8"	"IGFBP1"	"GCGR"	"DNER"	"KMO"	"CTHRC1"	"SEMA3E"	"ADGRG7"	"PIK3C2G"	"ACOT12"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"	"CYP3A4"
"CYP2C8"	"ASS1P1"	"CYP2C8"	"CYP2C8"	0.659952489547815	"PLGLA"	"EPB41L4B"	"PROM1"	"TAT"	"CYP2C8"	"ESRP1"	"AZGP1"	"EPS8L3"	"STRA6"	"MMP11"	"APOA5"	"GLYAT"	"HPD"	"C3orf85"	"FXYD1"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"	"SEMA3E"
"C9"	"CXCL14"	"TAT"	"TAT"	0.51072309155298	"OIT3"	"APOF"	"SLC6A13"	"SLC34A2"	"C9"	"HSD17B6"	"DPYS"	"HPX"	"TM6SF2"	"ADH1A"	"LPA"	"RDH16"	"NR1I3"	"LECT2"	"SLC22A1"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"	"ANGPTL6"
"SPP1"	"APOF"	"C9"	"C9"	0.328680509750494	"APOF"	"PLGLA"	"SYT7"	"CYP2C8"	"TAT"	"ANGPTL6"	"ESRP1"	"DNMT3L"	"CYP4A22"	"DSG1"	"C8B"	"CYP2B6"	"AP006216.2"	"LINC01702"	"AC007423.1"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"	"TTC36"
"DSG1"	"CLDN10"	"MPPED1"	"VTCN1"	0.337833333632474	"ALDH8A1"	"DBH"	"IGF1"	"VTCN1"	"VTCN1"	"PIK3C2G"	"CES3"	"UGT1A9"	"CYP3A4"	"IGF1"	"GRHL2"	"BCHE"	"ALDOB"	"LRRC37A7P"	"PRSS22"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"	"KRT7"
"MPPED1"	"FAM81A"	"VTCN1"	"SPP1"	0.339509381154719	"DBH"	"SLC25A47"	"CYP3A43"	"CPS1"	"MPPED1"	"SLC6A13"	"UGT1A3"	"FIBCD1"	"LINC01348"	"CDA"	"HSD17B6"	"SLC13A5"	"SEZ6L2"	"LPA"	"ASPDH"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"	"PRSS22"
"KRT19"	"LINP1"	"SPP1"	"KRT19"	0.301972623345965	"GRHL2"	"ASPDH"	"CPS1"	"CXCL14"	"KRT19"	"TM6SF2"	"PROM1"	"VTCN1"	"SERPINA11"	"CES5A"	"ANXA10"	"KRT7"	"AC020978.4"	"UGT1A4"	"PIK3C2G"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"	"RAB25"
"PCK1"	"CYP4A22"	"DSG1"	"MPPED1"	0.291257476959444	"CTHRC1"	"GLYATL1"	"C8B"	"DBH"	"SLC22A1"	"ABCB11"	"ASS1P1"	"APOA4"	"FAM81A"	"FADS6"	"AGXT2"	"UGT1A4"	"LRRC37A7P"	"GLT1D1"	"ADGRG7"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"	"GRHL2"
"FABP1"	"GRHL2"	"KRT19"	"DSG1"	0.250887138069823	"CLDN10"	"PLGLB2"	"HSD17B6"	"ANXA3"	"DBH"	"GBA3"	"GRHL2"	"CD5L"	"AGXT2"	"AC008549.1"	"CYP4A22"	"CEACAM6"	"FBP1"	"CYP2A13"	"NTM"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"	"LINC01093"
