"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"SLC34A2.SLC34A2"	"ANGPTL6"	"SLC34A2"	"SLC34A2"	0.960539147543363	"ANGPTL6"	"ANGPTL6"	"PRSS22"	"SLC34A2"	"SLC34A2"	"SLC25A47"	"SLC28A3"	"CES5A"	"CYP4F2"	"ASPG"	"LINC00844"	"LINC01833"	"CES3"	"GCNT3"	"SPP1"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"	"APLN"
"CYP2C8"	"VTCN1"	"CYP2C8"	"TAT"	0.636660048740245	"PLGLA"	"OIT3"	"PROM1"	"TAT"	"CYP2C8"	"UGT2A1"	"HSD17B13"	"HNF4A.AS1"	"AC104809.2"	"CYP1A1"	"B3GALT5"	"LRRC37A7P"	"AC007423.1"	"OR2I1P"	"FXYD1"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"	"VTCN1"
"OR2I1P"	"CYP4A22"	"TAT"	"CYP2C8"	0.470183824753337	"OIT3"	"ESRP1"	"TENM1"	"VTCN1"	"C9"	"LINC01831"	"HRG"	"LINC02041"	"LRRC37A7P"	"MFAP3L"	"NTM"	"KRT19"	"SLC39A5"	"CYP2B7P"	"AC012379.1"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"	"RAB25"
"C9"	"APLN"	"C9"	"OR2I1P"	0.440278527200845	"CYP1A2"	"APOF"	"SLC6A13"	"C9"	"VTCN1"	"AC004862.1"	"FADS6"	"AGXT2"	"IGF1"	"IL20RA"	"CYP4A22"	"SLC22A10"	"APLN"	"LINC01702"	"AC137723.1"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"	"CLDN10"
"SIX2"	"RAB25"	"OR2I1P"	"VTCN1"	0.41975	"FXYD1"	"RAB25"	"SYT7"	"CYP2C8"	"TAT"	"LINC01348"	"AC112206.2"	"AGXT"	"PZP"	"ABCC9"	"ASS1"	"APOA5"	"NTM"	"AC136601.2"	"AC004862.1"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"	"LINC01093"
"DSG1"	"ASS1"	"MPPED1"	"C9"	0.357705882669678	"ALDH8A1"	"CYP4A11"	"IL20RA"	"CPS1"	"SIX2"	"ADH4"	"ASPG"	"PAEP"	"NEU4"	"CYP2C8"	"AFAP1.AS1"	"MFAP3L"	"HNF4A.AS1"	"UROC1"	"SDS"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"	"CXCL14"
"MPPED1"	"CYP1A1"	"SIX2"	"SIX2"	0.339509381154719	"CXCL14"	"C8A"	"IGF1"	"ANXA3"	"KRT19"	"UGT2B10"	"FABP1"	"AC021146.9"	"MT1A"	"AC012379.1"	"CHRNA4"	"SLC6A13"	"FCAMR"	"LINC02037"	"FAM155B"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"	"UCA1"
"SPP1"	"ANXA3"	"VTCN1"	"SPP1"	0.328979582097856	"DNASE1L3"	"ASPDH"	"CYP3A43"	"PCK1"	"MPPED1"	"AGXT2"	"HPD"	"AMD1P4"	"UGT2B7"	"IGF1"	"ABCA8"	"LINC00844"	"MT1A"	"PROZ"	"CYP4A11"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"	"DBH"
"KRT19"	"OIT3"	"SPP1"	"KRT19"	0.302456553832097	"ASPG"	"LINC01093"	"CPS1"	"MAT1A"	"SLC22A1"	"AP001042.1"	"ANXA10"	"TMEM82"	"C3orf85"	"AC007423.1"	"LINC01831"	"SLC13A5"	"ADH1B"	"LGSN"	"ABCB11"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"	"LINC01370"
"PAEP"	"FITM1"	"DSG1"	"DSG1"	0.296164554992474	"DBH"	"GLYATL1"	"IBSP"	"KRT19"	"CYP1A2"	"CES3"	"PPP2R2C"	"GYS2"	"NAT2"	"ADGRG7"	"ADORA2BP1"	"HPGD"	"CEACAM6"	"AGXT"	"B4GALNT2"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"	"IL20RA"
