"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"PTPN13.PTPN13"	"ANGPTL6"	"PTPN13"	"PTPN13"	1	"ANGPTL6"	"ANGPTL6"	"PRSS22"	"PTPN13"	"PTPN13"	"TTC36"	"ANXA8L1"	"GLYATL1"	"CYP2A6"	"CYP2B7P"	"AGXT"	"CYP2C8"	"GLYATL1"	"LINC01554"	"SLC28A3"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"GRHL2"
"SLC34A2"	"VTCN1"	"SLC34A2"	"SLC34A2"	0.704395374865133	"CXCL14"	"OIT3"	"PON1"	"MPPED1"	"SLC34A2"	"AFM"	"GPD1"	"GPD1"	"PHYHD1"	"ACSM5"	"AC021146.9"	"PPP2R2C"	"SYT7"	"C5orf46"	"CNGA1"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"	"ESRP1"
"OR2I1P"	"ASS1"	"CYP2C8"	"TAT"	0.626911766337783	"OIT3"	"ESRP1"	"PROM1"	"TAT"	"CYP2C8"	"PLGLA"	"DBH"	"ABCB11"	"AP001042.1"	"GCNT3"	"WNT7B"	"AC122713.2"	"SIX2"	"LINC01833"	"CYP2B6"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"	"RAB25"
"CYP2C8"	"GRHL2"	"TAT"	"CYP2C8"	0.631483950783007	"HAND2.AS1"	"APOF"	"SLC6A13"	"VTCN1"	"C9"	"UGT1A9"	"AC112206.2"	"ADGRG7"	"MBL2"	"GPD1"	"LGSN"	"CDC20B"	"CCDC196"	"APOA4"	"KRT7"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"PRSS22"
"C9"	"SERPINA11"	"C9"	"OR2I1P"	0.422667386112811	"APOF"	"ASPDH"	"SYT7"	"SLC34A2"	"TAT"	"CES3"	"AFAP1.AS1"	"FXYD1"	"SLC1A2"	"AC104809.2"	"ALDH8A1"	"HAL"	"AGXT2"	"ANXA3"	"SLC22A10"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"	"CLDN10"
"SIX2"	"PTPN13"	"OR2I1P"	"VTCN1"	0.40296	"CLDN10"	"RAB25"	"IL20RA"	"KRT19"	"VTCN1"	"F9"	"SLC6A12"	"GCNT3"	"SDS"	"CNGA1"	"AC136601.2"	"CYP2A7"	"CYP2A13"	"SRD5A2"	"C8A"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"	"GPRIN2"
"DSG1"	"CYP1A1"	"MPPED1"	"C9"	0.347769608151076	"PLGLA"	"GRHL2"	"CYP3A43"	"CPS1"	"MPPED1"	"PAEP"	"APOA5"	"CYP2A13"	"FCAMR"	"GBA3"	"CNGA1"	"CXCL14"	"ADH1C"	"ADGRG7"	"GYS2"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"	"CXCL14"
"MPPED1"	"HAND2.AS1"	"SIX2"	"SIX2"	0.363760051237199	"PROM2"	"ALDH8A1"	"CPS1"	"DBH"	"KRT19"	"AKR7A3"	"PKHD1"	"PON1"	"FAP"	"IL20RA"	"SLC1A2"	"PHYHD1"	"GHR"	"C6"	"HNF4A.AS1"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"	"PROM1"
"KRT19"	"FXYD1"	"VTCN1"	"KRT19"	0.302456553832097	"ALDH8A1"	"PTPN13"	"HSD17B6"	"ANXA3"	"SIX2"	"SLC6A13"	"PLIN1"	"PHYHD1"	"AC007423.1"	"FAM99A"	"APOC1P1"	"AKR7A3"	"NEU4"	"THRSP"	"SLC27A5"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"	"IL20RA"
"PAEP"	"PROM2"	"DSG1"	"MPPED1"	0.296164554992474	"RAB25"	"GLYATL1"	"IBSP"	"TTR"	"ASS1"	"CYP2B6"	"SLC22A1"	"IGFBP1"	"RDH16"	"HSD17B13"	"PGLYRP2"	"LINC01833"	"CES3"	"GJB3"	"AC136601.2"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"	"TTC36"
"PCK1"	"FITM1"	"KRT19"	"DSG1"	0.293979509454392	"GRHL2"	"PLGLA"	"OTC"	"MAT1A"	"SLC22A1"	"AL161668.4"	"ABCA8"	"AGXT2"	"AC021146.9"	"ADH4"	"GCGR"	"TTR"	"TTR"	"ADH1A"	"IGFBP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PLGLB2"
"SLC10A1"	"OIT3"	"CPS1"	"CPS1"	0.244513507756867	"GLYATL1"	"GYS2"	"C6"	"SLC22A1"	"PCK1"	"FCAMR"	"TTC39A"	"AC004862.1"	"AKR7A3"	"DBH"	"CYP2C9"	"SLC28A3"	"FCAMR"	"PKHD1"	"CAPN6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"VTCN1"
"CYP2E1"	"LINP1"	"SLC22A1"	"SLC22A1"	0.243595271101806	"DNASE1L3"	"PRSS22"	"ABCC9"	"PCK1"	"CYP1A2"	"DAO"	"GBA3"	"PPP1R1A"	"GCGR"	"APOA5"	"NUGGC"	"PIK3C2G"	"AC021146.9"	"SLC22A10"	"CYP8B1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CD5L"
"TAT"	"FAM81A"	"HPGD"	"PAEP"	0.240267119885021	"PTPN13"	"SERPINA11"	"SPP2"	"CXCL14"	"ANXA3"	"GCNT3"	"LINC02754"	"APOC1P1"	"TMEM82"	"UGT1A9"	"LINC02428"	"PGLYRP2"	"AP001783.1"	"APOA5"	"CTHRC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MMP11"
