"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"ESR1.ESR1"	"RAB25"	"ESR1"	"ESR1"	1	"ANGPTL6"	"OIT3"	"PRSS22"	"PTPN13"	"PTPN13"	"TPPP2"	"SLC22A10"	"CYP2E1"	"SAA2"	"GLYATL1"	"APOF"	"SAA2.SAA4"	"GPD1"	"PLGLB2"	"WNK2"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"	"CLDN10"
"PTPN13"	"NAT2"	"PTPN13"	"PTPN13"	0.833333333333333	"CXCL14"	"ANGPTL6"	"PROM1"	"ESR1"	"ESR1"	"ACSM5"	"ADORA2BP1"	"ADH1C"	"GRHL2"	"NEU4"	"SHBG"	"UGT2B7"	"TACSTD2"	"LINC02754"	"PROM1"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"	"RAB25"
"SLC34A2"	"PAK5"	"SLC34A2"	"TAT"	0.608341460110797	"PLGLA"	"PRSS22"	"TENM1"	"TAT"	"SLC34A2"	"ANXA3"	"AL359510.2"	"FBP1"	"TMEM82"	"DBH"	"WNT7B"	"CYP2B6"	"MMP11"	"CYP4A11"	"ELFN1"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"	"IL20RA"
"CYP2C8"	"SHBG"	"CYP2C8"	"SLC34A2"	0.595251265082343	"PTPN13"	"RAB25"	"IL20RA"	"VTCN1"	"CYP2C8"	"SPP2"	"CCDC196"	"HOXA13"	"SLC22A1"	"SLC28A3"	"MFAP3L"	"PLGLB2"	"APOF"	"C9"	"ANXA10"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"	"GRHL2"
"HOXA13"	"PTPN13"	"WNK2"	"CYP2C8"	0.578862661893987	"OIT3"	"PTPN13"	"SYT13"	"SLC34A2"	"WNK2"	"RDH16"	"LINC01767"	"SLC28A1"	"FOLH1B"	"AC122713.2"	"MPPED1"	"AC112206.2"	"SLC22A1"	"FBP1"	"LINC00511"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"	"KRTCAP3"
"WNK2"	"ANGPTL6"	"TAT"	"HOXA13"	0.458019389828516	"RAB25"	"B3GALT5"	"CYP3A43"	"ANXA3"	"VTCN1"	"MATN3"	"LINC01554"	"OTC"	"AL365181.2"	"ADH1C"	"CYP2B7P"	"UGT1A2P"	"LINC01348"	"ANXA8L1"	"CHRNA4"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"	"GPRIN2"
"C9"	"CXCL14"	"HOXA13"	"WNK2"	0.449084097744862	"GRHL2"	"CYP4A11"	"IBSP"	"HOXA13"	"C9"	"LINC01370"	"B3GALT5"	"CYP4A11"	"UGT1A9"	"MRO"	"LRRC37A7P"	"CXCL14"	"HNF4A.AS1"	"AC104809.2"	"FBP1"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"	"PROM1"
"MPPED1"	"PROM2"	"C9"	"VTCN1"	0.327384046113479	"PROM1"	"ALDH8A1"	"OTC"	"KRT19"	"TAT"	"CYP2C9"	"LINC01702"	"CHRNA4"	"ANXA8L1"	"SLC22A7"	"TACSTD2"	"CYP2C8"	"GPRIN2"	"ARID3C"	"KRT19"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"SLC28A3"
"DSG1"	"CTHRC1"	"MPPED1"	"C9"	0.322928921854571	"FAM99B"	"ASPDH"	"C6"	"CXCL14"	"HOXA13"	"SEC14L3"	"LINC02027"	"LINC02027"	"LINC01767"	"C9"	"LINC01018"	"BX842568.2"	"LINC01370"	"SEC14L3"	"AGXT2"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"	"ESRP1"
"KRT19"	"ANXA3"	"VTCN1"	"KRT19"	0.301112302481732	"NAT2"	"CLDN10"	"SPP2"	"PCK1"	"EPCAM"	"PAK5"	"PKHD1"	"ANXA8L1"	"LINC02754"	"FBP1"	"FADS6"	"ARID3C"	"TMEM82"	"KMO"	"SRD5A2"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"	"CXCL14"
