"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"NPM1.NPM1"	"CHP2"	"NPM1"	"NPM1"	1	"SCGB1D2"	"CHP2"	"PARK7"	"KRT2"	"BCL6"	"CD164"	"CCNI"	"PMEL"	"COL1A2"	"CUTA"	"NCOA4"	"TM4SF1"	"ATP1B1"	"PMEL"	"ATP1A1"	"KRT14"	"VEGFA"	"IL6"	"ESR1"	"ESR1"	"TP53"	"TP53"	"EGFR"	"APOE"
"EEF2"	"RAB13"	"HSP90AB1"	"EEF2"	1	"NEBL"	"CFD"	"SRP14"	"KRT1"	"CFD"	"S100A1"	"COL3A1"	"TMEM59"	"LGALS1"	"STAT1"	"RPL14"	"RPS23"	"RPS16"	"ADD3"	"IFI6"	"S100A8"	"AKT1"	"TNF"	"IL6"	"TNF"	"IL6"	"APOE"	"APOE"	"AKT1"
"DSP"	"SCGB2A2"	"EEF2"	"DSP"	1	"SCGB2A2"	"SCGB1D2"	"RPL24"	"BCL6"	"SCGB2A2"	"PPL"	"IL1RN"	"RPL18"	"HEBP2"	"RPS27L"	"MAFB"	"RPS16"	"GSTP1"	"KRT10"	"TMSB4X"	"GPX3"	"APOE"	"AKT1"	"VEGFA"	"EGFR"	"TNF"	"IL6"	"TP53"	"VEGFA"
"FKBP1A"	"CKS2"	"DSP"	"FKBP1A"	1	"CFD"	"ADH1B"	"RPS27A"	"FGFR2"	"KRT1"	"CTSK"	"DEFB1"	"RAB25"	"PLP2"	"LGALS1"	"TCHH"	"CYB5A"	"FTL"	"DEFB1"	"COL3A1"	"KRT1"	"TP53"	"EGFR"	"EGFR"	"IL6"	"APOE"	"EGFR"	"IL6"	"ESR1"
"IQGAP1"	"NEBL"	"FKBP1A"	"IQGAP1"	1	"CHP2"	"SCGB2A2"	"CFL1"	"PPIA"	"FGFR2"	"GAPDH"	"PRAME"	"ACTA2"	"ALDH2"	"HEBP2"	"NDRG2"	"AKR1C3"	"RPL34"	"GSTA4"	"ADIRF"	"FTL"	"EGFR"	"ESR1"	"TP53"	"AKT1"	"VEGFA"	"ESR1"	"VEGFA"	"EGFR"
"ACTB"	"BCL6"	"GNAS"	"ACTB"	1	"TSPAN8"	"TSPAN8"	"RPL18"	"PPL"	"MMP1"	"JUP"	"ENO1"	"RPS29"	"CPA3"	"NTRK3"	"NDUFB4"	"CD164"	"COX5A"	"CD164"	"ACTA2"	"KRT5"	"ESR1"	"APOE"	"APOE"	"VEGFA"	"EGFR"	"VEGFA"	"ESR1"	"TP53"
"CTSB"	"CFH"	"IQGAP1"	"CTSB"	1	"ADH1B"	"BCL6"	"EIF3F"	"FBLN2"	"FLG"	"HOPX"	"FLG"	"BUD31"	"ACTN4"	"ACTG2"	"RAB25"	"CKS2"	"CCT3"	"PARK7"	"ARG1"	"NTRK3"	"TNF"	"TP53"	"AKT1"	"TP53"	"ESR1"	"AKT1"	"AKT1"	"IL6"
"STAT1"	"PSMB2"	"ACTB"	"STAT1"	1	"CFH"	"NEBL"	"RPL34"	"NOTCH2"	"CHP2"	"SCGB2A2"	"RPL24"	"NDUFA1"	"S100A4"	"ENO1"	"CYCS"	"STXBP1"	"AKR1C2"	"DUSP4"	"BCL6"	"CCNI"	"IL6"	"VEGFA"	"TNF"	"APOE"	"AKT1"	"TNF"	"TNF"	"TNF"
"SERPING1"	"ACTG2"	"CTSB"	"SERPING1"	1	"BCL6"	"CFH"	"RPL9"	"PSMB2"	"SPINK5"	"MFAP5"	"SEC61G"	"RPL34"	"NFKBIA"	"RPS25"	"GALNT1"	"TMEM258"	"TRIB2"	"S100A4"	"KCTD12"	"ARPC1B"	NA	NA	NA	NA	NA	NA	NA	NA
"HTRA1"	"METTL7A"	"STAT1"	"HTRA1"	1	"METTL7A"	"CKS2"	"RPL6"	"FGFR3"	"PSMB2"	"CYB5A"	"EDNRB"	"NEBL"	"MSMO1"	"FGFR3"	"ALDH3A2"	"YBX3"	"NPM1"	"NCL"	"AKR1C2"	"RPL10A"	NA	NA	NA	NA	NA	NA	NA	NA
