"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"NPM1.NPM1"	"CHP2"	"NPM1"	"NPM1"	1	"CFD"	"CFD"	"PARK7"	"KRT2"	"KRT2"	"SGK1"	"EEF2"	"TFAP2C"	"RPS18"	"GAPDH"	"KRT14"	"MSMO1"	"TUBB3"	"BEX1"	"HEBP2"	"KRT14"	"TP53"	"APOE"	"ESR1"	"AKT1"	"VEGFA"	"IL6"	"TNF"	"APOE"
"EEF2"	"PCLAF"	"EEF2"	"EEF2"	1	"CHP2"	"CHP2"	"SRP14"	"BCL6"	"CFD"	"H2AZ1"	"SUB1"	"SLC39A6"	"IER3"	"KRT1"	"AKR1B1"	"KRT15"	"WBP1L"	"MYL9"	"IL18"	"KRT5"	"EGFR"	"TP53"	"IL6"	"EGFR"	"EGFR"	"APOE"	"AKT1"	"TNF"
"DSP"	"BCL6"	"DSP"	"DSP"	1	"SCGB2A2"	"ADH1B"	"RPL24"	"KRT1"	"FLG"	"CCT3"	"RPL18"	"AKR1C2"	"ADH1B"	"CTSH"	"ELOVL4"	"MYOF"	"RPL34"	"ACTB"	"ATP5PF"	"KRT1"	"IL6"	"EGFR"	"VEGFA"	"IL6"	"TP53"	"ESR1"	"APOE"	"IL6"
"FKBP1A"	"SCGB2A2"	"FKBP1A"	"FKBP1A"	1	"TMEM43"	"TSPAN8"	"RPS27A"	"PPL"	"LCE2B"	"IL18"	"HSPH1"	"KRT23"	"PPIA"	"CAV2"	"AQP1"	"RPS16"	"KRT15"	"HSBP1"	"SRP14"	"GPX3"	"AKT1"	"IL6"	"AKT1"	"APOE"	"AKT1"	"AKT1"	"EGFR"	"TP53"
"IQGAP1"	"TMEM43"	"GNAS"	"IQGAP1"	1	"TSPAN8"	"CKS2"	"RPL18"	"ALDH2"	"PSMB2"	"MARCKSL1"	"CXCL14"	"ERH"	"PKM"	"OLFML3"	"EDNRB"	"CCT3"	"SNRPD3"	"DEFB1"	"ADH1B"	"KRT10"	"TNF"	"TNF"	"TP53"	"ESR1"	"IL6"	"TP53"	"VEGFA"	"EGFR"
"ACTB"	"CCT3"	"IQGAP1"	"ACTB"	1	"ADH1B"	"TMEM43"	"EIF3F"	"FBLN2"	"SERPINB7"	"U2AF1"	"IDE"	"UBE2S"	"COX7A2"	"SCGB2A2"	"CUTA"	"MAFB"	"EIF3F"	"FBLN1"	"DCN"	"RPL12"	"ESR1"	"ESR1"	"EGFR"	"TP53"	"TNF"	"TNF"	"IL6"	"VEGFA"
"CTSB"	"MATN2"	"ACTB"	"CTSB"	1	"CFH"	"KRT2"	"RPS5"	"PPIA"	"BCL6"	"S100A1"	"SLC20A1"	"PKM"	"CHP2"	"IER3"	"KRT23"	"EEF1D"	"CUTA"	"LGALS1"	"SCGB2A2"	"FTL"	"VEGFA"	"VEGFA"	"APOE"	"TNF"	"ESR1"	"EGFR"	"ESR1"	"AKT1"
"SERPING1"	"NDRG2"	"CTSB"	"SERPING1"	1	"KRT10"	"SCGB2A2"	"RPL34"	"PSMB2"	"KRT10"	"UBE2S"	"SCGB1D2"	"CPA3"	"S100A10"	"DSP"	"HMGB2"	"FABP5"	"ANP32B"	"MMP1"	"ALDH2"	"PTTG1"	"APOE"	"AKT1"	"TNF"	"VEGFA"	"APOE"	"VEGFA"	"TP53"	"ESR1"
"JUP"	"CKS2"	"SERPING1"	"JUP"	1	"CKS2"	"LCE2B"	"RPL9"	"NOTCH2"	"GJA1"	"ACTA2"	"SPINK5"	"HSPB1"	"TMSB10"	"ALDH2"	"COX7A2"	"SERBP1"	"ABLIM1"	"CDSN"	"FKBP1A"	"ACTB"	NA	NA	NA	NA	NA	NA	NA	NA
"HTRA1"	"CFD"	"JUP"	"HTRA1"	1	"SCGB1D2"	"CFH"	"RPL6"	"DCN"	"CHP2"	"NFKBIA"	"ZFP36L1"	"GAPDH"	"HLA.A"	"SEM1"	"MSMO1"	"CUTA"	"TXNIP"	"NES"	"RPL29"	"RPL3"	NA	NA	NA	NA	NA	NA	NA	NA
"GJA1"	"PSMB2"	"HTRA1"	"GJA1"	1	"AQP1"	"SCGB1D2"	"RPL10A"	"SCGB2A2"	"SOX10"	"MAFB"	"HLA.DPA1"	"TBCB"	"SNRPE"	"HTRA1"	"FKBP1A"	"GLTP"	"GJA1"	"COL4A1"	"PTGIS"	"LGALS1"	NA	NA	NA	NA	NA	NA	NA	NA
