"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"NPM1.NPM1"	"CHP2"	"NPM1"	"NPM1"	1	"SCGB2A2"	"CHP2"	"PARK7"	"KRT2"	"KRT2"	"COL1A2"	"S100A4"	"CRYAB"	"CDK4"	"DPYSL2"	"CFH"	"ERH"	"METTL7A"	"CST6"	"DSP"	"S100A8"	"VEGFA"	"IL6"	"IL6"	"AKT1"	"ESR1"	"IL6"	"TP53"	"TNF"
"EEF2"	"PCLAF"	"EEF2"	"EEF2"	1	"TSPAN8"	"CFD"	"SRP14"	"KRT1"	"LCE2B"	"MFAP5"	"COL6A2"	"ATOX1"	"CRCT1"	"SPARCL1"	"TMEM45A"	"METTL7A"	"TUBB4B"	"MLLT11"	"NFKBIA"	"SCGB2A2"	"TNF"	"VEGFA"	"AKT1"	"EGFR"	"EGFR"	"VEGFA"	"IL6"	"TP53"
"DSP"	"BCL6"	"DSP"	"DSP"	1	"SCGB1D2"	"SCGB2A2"	"RPL24"	"KLF4"	"CFD"	"RPS16"	"COL4A1"	"PLS3"	"TMEM45A"	"TMEM59"	"SERPINE2"	"TCHH"	"ARG1"	"IL18"	"NPM1"	"FTL"	"IL6"	"TNF"	"ESR1"	"VEGFA"	"VEGFA"	"TNF"	"EGFR"	"EGFR"
"FKBP1A"	"SCGB2A2"	"FKBP1A"	"FKBP1A"	1	"CFD"	"ADH1B"	"RPS27A"	"PPL"	"BCL6"	"CHP2"	"CCN5"	"SERPINE2"	"RPS21"	"POMP"	"PMEL"	"NOTCH2NLA"	"ADD3"	"KPNB1"	"LY6G6C"	"SCGB1D2"	"APOE"	"AKT1"	"VEGFA"	"APOE"	"IL6"	"EGFR"	"AKT1"	"AKT1"
"IQGAP1"	"MATN2"	"GNAS"	"IQGAP1"	1	"ADH1B"	"TSPAN8"	"RPL18"	"BCL6"	"FLG"	"ELOVL4"	"HLA.C"	"ELOVL4"	"YBX1"	"FTL"	"FTH1"	"RPL14"	"JUP"	"RPS27"	"MKNK2"	"LAPTM4A"	"AKT1"	"APOE"	"APOE"	"TNF"	"AKT1"	"AKT1"	"APOE"	"VEGFA"
"ACTB"	"DSC3"	"IQGAP1"	"ACTB"	1	"CHP2"	"SCGB1D2"	"EIF3F"	"LY6G6C"	"ZNF750"	"COL4A1"	"DHCR24"	"CYB5A"	"NPM1"	"RAB11A"	"TOP2A"	"ACTB"	"UBB"	"SPINK5"	"FABP4"	"KLF5"	"EGFR"	"EGFR"	"TP53"	"TP53"	"APOE"	"TP53"	"VEGFA"	"IL6"
"CTSB"	"ACTG2"	"ACTB"	"CTSB"	1	"CKS2"	"CKS2"	"RPL6"	"FBLN2"	"SERPINB7"	"PPIA"	"FABP5"	"SNRPD2"	"GALNT1"	"FTH1"	"CDK4"	"HMGB2"	"UQCR11"	"EFEMP1"	"DCN"	"NOTCH2NLA"	"TP53"	"ESR1"	"TNF"	"IL6"	"TP53"	"APOE"	"ESR1"	"APOE"
"STAT1"	"CKS2"	"CTSB"	"STAT1"	1	"BCL6"	"FEN1"	"RPL10A"	"PPIA"	"FEN1"	"NGRN"	"SEC61G"	"PTTG1"	"TNC"	"TRMT112"	"CRYBG1"	"DEGS1"	"CRCT1"	"RPL23A"	"CXCL9"	"TUFT1"	"ESR1"	"TP53"	"EGFR"	"ESR1"	"TNF"	"ESR1"	"TNF"	"ESR1"
"SERPING1"	"TOB1"	"STAT1"	"SERPING1"	1	"ACTG2"	"KRT2"	"PSMB2"	"PSMB2"	"GJA1"	"SLC20A1"	"GSTO1"	"JUP"	"MT1X"	"NDUFB4"	"CRYAB"	"RPL8"	"CD55"	"MTHFD2"	"KLF4"	"PAFAH1B1"	NA	NA	NA	NA	NA	NA	NA	NA
"GJA1"	"KRT23"	"SERPING1"	"GJA1"	1	"PRAME"	"ACTG2"	"ERH"	"SCGB2A2"	"PTGIS"	"SNX3"	"TUFT1"	"SAT1"	"HNRNPD"	"ZNF750"	"KLF6"	"PTTG1"	"S100A4"	"PCNA"	"MATN2"	"RPL10A"	NA	NA	NA	NA	NA	NA	NA	NA
"RRM2"	"FBLN1"	"JUP"	"RRM2"	1	"METTL7A"	"LCE2B"	"NONO"	"FEN1"	"SOX10"	"RPS27"	"AFF1"	"RPS27A"	"XRCC6"	"ENO1"	"SRP14"	"AFF1"	"PCNA"	"KPNA2"	"CD81"	"RAPGEFL1"	NA	NA	NA	NA	NA	NA	NA	NA
"ALDH3A2"	"METTL7A"	"TOP2A"	"ALDH3A2"	1	"IL18"	"BCL6"	"NPM1"	"ALDH2"	"KRT1"	"RPL6"	"MAGED1"	"BEX3"	"POMP"	"CD164"	"CREG1"	"COL6A2"	"CTSB"	"SPRY4"	"S100A8"	"HLA.F"	NA	NA	NA	NA	NA	NA	NA	NA
"CDH3"	"MARCKSL1"	"PPIA"	"CDH3"	1	"PTGIS"	"KRT23"	"SNX3"	"DCN"	"SLURP1"	"MMP1"	"RPS6"	"TSPAN8"	"GAPDH"	"ABLIM1"	"RPL32"	"RPL3"	"NCOA4"	"SERBP1"	"OLFML3"	"FABP5"	NA	NA	NA	NA	NA	NA	NA	NA
"SNRPE"	"CCT3"	"ALDH2"	"SNRPE"	1	"KRT23"	"METTL7A"	"HNRNPD"	"NPM1"	"CHP2"	"SET"	"ENO1"	"SERPINB7"	"TUFT1"	"KRT15"	"POMP"	"ACSL1"	"COL4A1"	"CPA3"	"EIF3K"	"CCNI"	NA	NA	NA	NA	NA	NA	NA	NA
"EDNRB"	"ACTA2"	"NFKBIA"	"EDNRB"	1	"PPL"	"AZGP1"	"RPL14"	"NOTCH2"	"KLF4"	"PABPC3"	"ELOB"	"SLC7A5"	"DUSP1"	"FLG"	"SARAF"	"FABP4"	"CHP2"	"NONO"	"SERPING1"	"ID4"	NA	NA	NA	NA	NA	NA	NA	NA
"CSTA"	"PSMB2"	"TNC"	"CSTA"	1	"NEBL"	"CFH"	"OAZ1"	"KRT23"	"SPINK5"	"DEFB1"	"KRT14"	"ELOB"	"SET"	"RPS16"	"RRM2"	"CDH3"	"FGFR3"	"LIPA"	"FLG"	"C1R"	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINB7"	"LY6G6C"	"GJA1"	"SERPINB7"	1	"KRT2"	"SOX10"	"RPS6"	"CST6"	"PSMB2"	"CRYBG1"	"HNRNPAB"	"PMEL"	"DEGS1"	"ACTG2"	"C3"	"LIPA"	"KRT5"	"CFD"	"IL18"	"TOB1"	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFB1"	"RPS6"	"KRT5"	"NDUFB1"	1	"MATN2"	"CILP"	"ELOB"	"CHP2"	"FGFR2"	"TMA7"	"AKR1B1"	"ABLIM1"	"HMGN1"	"TSPAN8"	"PLS3"	"NPTN"	"B2M"	"ISL1"	"ARPC1B"	"ITPRID2"	NA	NA	NA	NA	NA	NA	NA	NA
"KLF6"	"CFD"	"COL3A1"	"KLF6"	1	"KLF5"	"CST6"	"RPS25"	"RRM2"	"DSG1"	"ZFP36L1"	"ADH1B"	"SNRPD3"	"TOB1"	"TMSB4X"	"COX7A2"	"TMEM258"	"LYPD3"	"ZFP36L1"	"DYNLL1"	"NEBL"	NA	NA	NA	NA	NA	NA	NA	NA
"COL6A2"	"FEN1"	"RRM2"	"COL6A2"	1	"RAPGEFL1"	"PPL"	"EEF2"	"FGFR2"	"SCGB2A2"	"NCOA4"	"GAPDH"	"DEGS1"	"PSMB2"	"PPL"	"TRMT5"	"TUBB"	"ARL6IP1"	"IFI6"	"NME1"	"CD164"	NA	NA	NA	NA	NA	NA	NA	NA
"ATP2A2"	"FGFR2"	"B2M"	"ATP2A2"	1	"CFH"	"MFAP5"	"DSP"	"FLG"	"KRT10"	"AKR1B1"	"TFAP2C"	"RAPGEFL1"	"NOTCH2NLA"	"YBX1"	"TRIM29"	"RAPGEFL1"	"RAP2B"	"ATP5PF"	"C3"	"RPL3"	NA	NA	NA	NA	NA	NA	NA	NA
"KLF5"	"KLF4"	"ALDH3A2"	"KLF5"	1	"FEN1"	"FBLN2"	"NCL"	"NONO"	"LY6G6C"	"CA12"	"RPS16"	"SDC1"	"COX6C"	"C1R"	"FEN1"	"ELOVL4"	"DHCR24"	"UBE2S"	"FKBP1A"	"CPA3"	NA	NA	NA	NA	NA	NA	NA	NA
