"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"HLF.HLF"	"MMP11"	"HLF"	"HLF"	1	"COL10A1"	"VEGFD"	"PDK4"	"BUB1B"	"BUB1B"	"TNNT1"	"IL6"	"ANKRD29"	"PCOLCE2"	"CHRNA6"	"HJURP"	"RRM2"	"SFTPB"	"CEP55"	"DES"	"NAPSA"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"TUBB3"	"GPIHBP1"	"ZBTB16"	"TUBB3"	1	"VEGFD"	"CA4"	"ANLN"	"TOP2A"	"TOP2A"	"ADAM33"	"ITIH5"	"ASPM"	"ADH1A"	"EEF1A2"	"ADAMTS8"	"TMEM100"	"KLF15"	"SCEL"	"CDK1"	"SFTPA1"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"WT1"	"ARC"	"HOXC13"	"WT1"	0.990740740740741	"MMP11"	"GPIHBP1"	"ATP1A2"	"MMP11"	"SSTR1"	"AURKB"	"OVCH2"	"GPIHBP1"	"FOSB"	"CDKN3"	"SFTPA2"	"UBE2T"	"S100P"	"LAMP5"	"WIF1"	"COL10A1"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"EXO1"	"IQGAP3"	"HOXC11"	"EXO1"	0.982142857142857	"CA4"	"MMP11"	"MARCO"	"VEGFD"	"VEGFD"	"MEX3A"	"FMO2"	"WIF1"	"CCL14"	"SLC24A2"	"SFTPA1"	"NKX2.1"	"AP001542.1"	"KLF15"	"IQGAP3"	"SFTA3"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"NKX2.1"	"KIF26B"	"TOP2A"	"TOP2A"	0.938492063492063	"GPIHBP1"	"BTNL9"	"SYT13"	"SSTR1"	"TUBB3"	"MKI67"	"PIGR"	"CA4"	"GRIA1"	"ABCA8"	"C7"	"AOC3"	"TNNT1"	"HOXC11"	"C16orf89"	"CTHRC1"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"TOP2A"	"VEGFD"	"SCN7A"	"SLC34A2"	0.936111111111111	"SLC24A2"	"CAV1"	"FHL1"	"PLK1"	"MMP11"	"SYT13"	"VEGFD"	"NXPH1"	"CAV1"	"SCGB1A1"	"SCN7A"	"KIF4A"	"CST2"	"EPYC"	"FOLR1"	"NKX2.1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"WIF1"	"CHRNA6"	"WIF1"	"WIF1"	0.940740740740741	"KIF26B"	"SLC24A2"	"DEPDC1"	"HMMR"	"PLK1"	"TNXB"	"GPD1"	"SHISA3"	"LINC00466"	"NEK2"	"G0S2"	"FENDRR"	"ADM2"	"AC093895.2"	"ASPM"	"COL11A1"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"SSTR1"	"HLF"	"BUB1B"	"SSTR1"	0.91469585260771	"BTNL9"	"COL10A1"	"IBSP"	"TUBB3"	"MYH11"	"CRABP2"	"AC024909.1"	"NUSAP1"	"SKA1"	"MIR4653"	"APOB"	"GDF10"	"DTL"	"NEK2"	"IGSF9"	"SFTPB"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"SLC34A2"	"IBSP"	"SLC34A2"	"HOXC11"	0.920833333333333	"LINC01614"	"KIF26B"	"EFCAB1"	"EXO1"	"CLDN5"	"KIF18B"	"LINGO1"	"CST1"	"ADAMTS14"	"PLPP4"	"MAOA"	"KIF18B"	"AC134312.5"	"RBP4"	"ADRA1A"	"SFTPC"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"BUB1B"	"MYOC"	"EXO1"	"BUB1B"	0.922496570644719	"COL11A1"	"COL11A1"	"MYOC"	"CLDN5"	"FOXM1"	"IBSP"	"CDC25C"	"CLEC3B"	"S100P"	"NAPSA"	"COMP"	"GPR17"	"LINC01561"	"ADAMTS8"	"PEBP4"	"SLC24A2"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
"HOXC11"	"SLC24A2"	"WT1"	"MMP3"	0.903703703703704	"MME"	"ANLN"	"DEPDC1B"	"TPX2"	"MMP1"	"TESMIN"	"KIF4A"	"PYCR1"	"SCGB1A1"	"EPHA10"	"TROAP"	"LINC00466"	"AC024909.1"	"KIF18B"	"TMEM100"	"MMP11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MMP3"	"PYCR1"	"TUBB3"	"MMP1"	0.893884194800364	"ADAMTS14"	"HJURP"	"ADRB1"	"FOXM1"	"IL33"	"COL11A1"	"FCN3"	"MME"	"PTGDS"	"PIMREG"	"S100P"	"HOXC13"	"DES"	"HMMR"	"CNTNAP2"	"FABP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"COL1A1"	"CST1"	"MYH11"	"COL1A1"	0.870454598912866	"UHRF1"	"UHRF1"	"EPN3"	"NEK2"	"AURKB"	"MELK"	"HOXC11"	"UHRF1"	"ABCA8"	"GPR17"	"ZNF695"	"S100P"	"GPM6A"	"TMEM63C"	"EPYC"	"SFTA2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
