"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SALL4.SALL4"	"SALL4"	"SALL4"	"SALL4"	1	"CA7"	"SPATA12"	"HSPB6"	"SALL4"	"COL11A1"	"AC007182.1"	"CA7"	"MAMDC2"	"LINC01411"	"TACSTD2"	"RIMS4"	"MOGAT2"	"TMIGD1"	"SLC7A14"	"ETV4"	"MYOC"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"
"POU5F1B"	"BEST4"	"PHOX2B"	"WT1"	0.892989854027574	"SALL4"	"BMP3"	"PRSS22"	"ETV4"	"BTNL8"	"VIP"	"TMEM72"	"CLCA4"	"ADAM12"	"KIF26B"	"WNT2"	"BMP3"	"GUCA2B"	"KIF1A"	"CDH3"	"EPHX4"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"
"WT1"	"KRT80"	"SCN7A"	"ETV4"	0.900709219858156	"KRT80"	"COL11A1"	"CEACAM7"	"SCN7A"	"LINC01811"	"KRT6A"	"CADM3"	"PRPH"	"CLCA1"	"ZIC2"	"C11orf86"	"TG"	"CA4"	"PYY"	"SALL4"	"FOXQ1"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"
"SCN7A"	"C6orf223"	"FEV"	"POU5F1B"	0.833333333333333	"ESM1"	"CDH3"	"NR1H4"	"CDH3"	"COL10A1"	"CXCL8"	"ECRG4"	"TPH1"	"KIF26B"	"ECRG4"	"FOXQ1"	"AC012317.2"	"PYY"	"KRT16"	"CEMIP"	"KRT80"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"
"ETV4"	"GCNT2"	"ETV4"	"SCN7A"	0.830808080808081	"SPIB"	"SALL4"	"SLC7A14"	"CEACAM7"	"BBOX1.AS1"	"MEP1B"	"SLC25A34"	"CLDN8"	"FGF19"	"NPY6R"	"GCNT2"	"IGHV3.7"	"IGLV7.43"	"TMEM72"	"LYVE1"	"AC007128.1"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"
"PHOX2B"	"CDH3"	"WT1"	"PHOX2B"	0.628571428571429	"SCARA5"	"CEMIP"	"DPEP1"	"PHOX2B"	"MS4A12"	"MT1M"	"CLDN8"	"GUCA2A"	"CWH43"	"ADTRP"	"ADH1C"	"CHGB"	"IGHA2"	"TNXB"	"CLDN1"	"GRIN2D"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"
"CDH3"	"ESM1"	"POU5F1B"	"CEACAM7"	0.623563267062997	"BEST4"	"WNT2"	"STMN4"	"POU5F1B"	"GLP2R"	"PIWIL1"	"CXCL8"	"IGLV7.43"	"ABCB11"	"IGHA2"	"ABCG2"	"CD177"	"FABP6"	"MMP7"	"MMP7"	"ESM1"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"
"CEACAM7"	"COL11A1"	"FAM135B"	"NKD2"	0.59362435206332	"SCGN"	"INHBA"	"CLCA1"	"FEV"	"AKR1B10"	"CPNE7"	"CWH43"	"PYY"	"PRR36"	"ZG16"	"FEZF1"	"HSD3B2"	"S100A2"	"NSG2"	"FEV"	"MMP11"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"
"NKD2"	"SCARA5"	"SLC6A19"	"CDH3"	0.546836896345593	"OTOP2"	"COL10A1"	"CLCA4"	"ACAN"	"TMEM35A"	"VWA2"	"CHP2"	"CXCL8"	"ADTRP"	"GPT"	"CEL"	"CADM3"	"GBA3"	"BEST2"	"ABCG2"	"CEMIP"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"
"FEV"	"SLC25A34"	"NKD2"	"LYVE1"	0.5	"COL11A1"	"PCSK2"	"ATP1A2"	"WT1"	"ETV4"	"IGHA2"	"RAET1L"	"KRT80"	"NSG2"	"SCARA5"	"SLC7A14"	"TMEM72"	"B3GALT1"	"C6orf15"	"PHOX2B"	"CPNE7"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"
