"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SALL4.SALL4"	"KRT80"	"SALL4"	"SALL4"	1	"BEST4"	"ABCA8"	"HSPB6"	"SALL4"	"MMP7"	"VIP"	"MSX2"	"SCGN"	"PHOX2B"	"COL10A1"	"LEMD1"	"CEMIP"	"INHBA"	"BBOX1.AS1"	"ETV4"	"CDH3"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"POU5F1B"	"TMEM100"	"PHOX2B"	"RSPO2"	0.892989854027574	"CA7"	"GREM2"	"PRSS22"	"ETV4"	"CNGA3"	"PCSK2"	"REG1A"	"STMN2"	"TMEM35A"	"SLC5A7"	"GFRA3"	"UCN2"	"AC055717.2"	"MORN5"	"CDH3"	"OTOP2"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"RSPO2"	"CDH3"	"SCN7A"	"SCN7A"	0.878048780487805	"KRT80"	"COL11A1"	"CEACAM7"	"RSPO2"	"SIM2"	"NPTX1"	"PDZRN4"	"CHGA"	"LDB3"	"KLK7"	"CDH3"	"AL161431.1"	"CXCL5"	"STUM"	"SALL4"	"ESM1"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"SCN7A"	"ESM1"	"RSPO2"	"ETV4"	0.848484848484849	"ESM1"	"CDH3"	"SLC7A14"	"SCN7A"	"PRPH"	"ANGPTL7"	"EVA1A"	"REG3A"	"PI16"	"PI16"	"FEZF1.AS1"	"AC055717.2"	"B3GALT5.AS1"	"IGHV3.7"	"RSPO2"	"MYOC"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"ETV4"	"CEMIP"	"FEV"	"POU5F1B"	0.829545454545455	"SCGN"	"SALL4"	"DPEP1"	"CEACAM7"	"MMP13"	"SLC51B"	"CEMIP"	"DPP6"	"TG"	"REG1A"	"TACSTD2"	"ETV4"	"RSPO2"	"SLCO1B3"	"LYVE1"	"VEGFD"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"MYH11"	"CPNE7"	"ETV4"	"MYH11"	0.665274654705628	"CDH3"	"CEMIP"	"STMN4"	"PHOX2B"	"B3GALT5.AS1"	"SFTA2"	"DHRS9"	"CHP2"	"PRIMA1"	"SFRP5"	"LRRN2"	"KLK8"	"LINC02253"	"NEFL"	"CEMIP"	"AC007128.1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"CDH3"	"SALL4"	"POU5F1B"	"PHOX2B"	0.618827343515683	"SPIB"	"WNT2"	"CLCA1"	"CDH3"	"PYY"	"PHOX2B"	"MSX1"	"KLK8"	"KLK8"	"GCG"	"NKD1"	"ALPI"	"DKK4"	"C7"	"CLDN1"	"CLDN1"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"PHOX2B"	"COL11A1"	"MYH11"	"CEACAM7"	0.642857142857143	"WNT2"	"INHBA"	"CLCA4"	"POU5F1B"	"PCSK2"	"CADM3"	"FMN2"	"CXCL5"	"SCNN1B"	"SST"	"NKD2"	"CCBE1"	"LINC00858"	"ADAMTS12"	"PHOX2B"	"CPNE7"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"CEACAM7"	"MAMDC2"	"SLC6A19"	"NKD2"	0.595259680856883	"ABCA8"	"PYY"	"ATP1A2"	"FEV"	"AC087379.1"	"ASB5"	"CHP2"	"FOXQ1"	"FOXQ1"	"CHRM2"	"SCARA5"	"SOX14"	"PDZRN4"	"SEMA3E"	"MMP7"	"LINC02163"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"NKD2"	"SCGN"	"NKD2"	"CDH3"	0.557141165347557	"SALL4"	"CLDN1"	"MYOC"	"MYH11"	"ANGPTL7"	"ADAMTS12"	"GFRA3"	"MSX2"	"ESM1"	"ADH1B"	"DES"	"PDZRN4"	"SCNN1B"	"AC087379.1"	"CXCL8"	"FOXQ1"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
