"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SALL4.SALL4"	"SALL4"	"SALL4"	"SALL4"	1	"CA7"	"COL11A1"	"HSPB6"	"SALL4"	"AL355312.4"	"LINC00858"	"LYVE1"	"VWA2"	"PKP1"	"IGHA2"	"MSX2"	"SFRP5"	"LDB3"	"XKR4"	"ETV4"	"WNT2"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"
"POU5F1B"	"ASPA"	"TLX1"	"TLX1"	0.892989854027574	"BEST4"	"CDH3"	"PRSS22"	"ETV4"	"GLP2R"	"MAL"	"ACTG2"	"CRNDE"	"CNGA3"	"PYGM"	"MS4A10"	"KRT6B"	"ANGPTL1"	"CA7"	"CDH3"	"EPHX4"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"
"RSPO2"	"KRT80"	"PHOX2B"	"RSPO2"	0.878048780487805	"WNT2"	"SALL4"	"CEACAM7"	"RSPO2"	"XKR4"	"KRT6B"	"ELFN1.AS1"	"ZBTB16"	"ADH1C"	"AC007182.1"	"TMIGD1"	"TRIM29"	"KLK6"	"MAPK4"	"SALL4"	"OTOP2"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"
"SCN7A"	"BEST4"	"ZBTB16"	"SCN7A"	0.848484848484849	"SALL4"	"TRIB3"	"SLC7A14"	"SCN7A"	"PMP2"	"PDZRN4"	"DUSP27"	"PRSS22"	"MAPK15"	"VIP"	"ACAN"	"LGI1"	"C16orf89"	"KRT24"	"TLX1"	"ADAMTS12"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"
"ETV4"	"KIAA1257"	"SIX1"	"SIX1"	0.829545454545455	"SCARA5"	"CEMIP"	"DPEP1"	"TLX1"	"CDKN2B.AS1"	"LINC01811"	"GRIN2D"	"VIP"	"DKK4"	"DAO"	"CADM2"	"SLC5A7"	"SOX14"	"RPL41P1"	"RSPO2"	"COL10A1"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"
"ZBTB16"	"MS4A10"	"SCN7A"	"ETV4"	0.746666666666667	"OTOP2"	"GRIN2D"	"STMN4"	"CEACAM7"	"STRA6"	"AL162582.1"	"SALL4"	"UGT2A3"	"RPL41P1"	"STMN2"	"REG1A"	"JCHAIN"	"TMIGD1"	"SLC7A14"	"LYVE1"	"CDH3"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"
"SIX1"	"ESM1"	"RSPO2"	"POU5F1B"	0.731481481481482	"NRXN1"	"WNT2"	"CLCA1"	"PHOX2B"	"KRT17"	"GRIN2D"	"SCGN"	"SLC25A34"	"LINC02577"	"ZIC2"	"IGKV2.30"	"MMP7"	"LINC02418"	"LINC02253"	"TUBB4A"	"COL11A1"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"
"CDH3"	"CLDN1"	"FEV"	"ZBTB16"	0.637319997367099	"CEMIP"	"RERGL"	"CLCA4"	"TUBB4A"	"L1CAM"	"STUM"	"AL355312.4"	"VSIG2"	"CRNDE"	"TUBB4A"	"CST1"	"B4GALNT2"	"CNR1"	"TLX1"	"SCN7A"	"ESM1"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"
"MYH11"	"CDH3"	"ETV4"	"TUBB4A"	0.643253368225825	"CADM3"	"KIAA1257"	"ATP1A2"	"CDH3"	"CEACAM7"	"TMEM35A"	"KRT17"	"CNR1"	"CHRM2"	"NEFM"	"L1CAM"	"CNN1"	"CHGA"	"IGHA2"	"PHOX2B"	"LINC02418"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"
"PHOX2B"	"CA7"	"POU5F1B"	"MYH11"	0.612433862433862	"KRT80"	"INHBA"	"VSIG2"	"FEV"	"TLX1"	"CLCA4"	"CASC19"	"LINC02577"	"CLCA1"	"AL162582.1"	"CA7"	"ATP1A2"	"L1CAM"	"CCBE1"	"GRIN2D"	"LINC00974"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"
